#1|Свёрла по металлу|335||||-||norow|| HSS|</span><span class="for">Для просверливания отверстий в листовом металле, для сверления легированных и нелегированных углеродистых сталей, цветных металлов, пластика</span></p><UL><LI>Сверла изготовлены из высококачественной быстрорежущей стали <b>HSS</b>.<LI>Класс точности <b>A1</b>, правосторонние.<LI>Твердость режущих кромок <b>62–65 HRc</b>.<LI>Коническая заточка, угол заточки <b>118&deg;</b>.<LI>Хвостовик <b>цилиндрический</b>.<LI>Рекомендуется использовать СОЖ.</UL>Цена за упаковку.<p><span class="addt">||/img/pic/drill/small/35-5-160.jpg|/img/pic/drill/big/35-5-160.jpg
 1|Свёрла по металлу|335||||-||norow|| HSS|</span><span class="for">Для просверливания отверстий в листовом металле, для сверления легированных и нелегированных углеродистых сталей, цветных металлов, пластика</span></p><UL><LI>Сверла изготовлены из высококачественной быстрорежущей стали <b>HSS</b>.<LI>Класс точности <b>A1</b>, правосторонние. Твердость режущих кромок <b>62–65 HRc</b>.<LI>Коническая заточка, угол заточки <b>118&deg;</b>. Хвостовик <b>цилиндрический</b>.<LI>Рекомендуется использовать СОЖ.</UL><p><span class="addt"><b>Цена за упаковку.</b>||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
 0|Сверло по металлу HSS&#8199; 2.0 мм (уп. 10 шт.)|335|35-5-120| 95,00| 89,00|-||
 0|Сверло по металлу HSS&#8199; 3.0 мм (уп. 10 шт.)|335|35-5-130|135,00|125,00|-||
 0|Сверло по металлу HSS&#8199; 3.2 мм (уп. 10 шт.)|335|35-5-132|145,00|135,00|-||
 0|Сверло по металлу HSS&#8199; 3.5 мм (уп. 10 шт.)|335|35-5-135|159,00|148,00|-||
 0|Сверло по металлу HSS&#8199; 4.0 мм (уп. 10 шт.)|335|35-5-140|189,00|180,00|-||
 0|Сверло по металлу HSS&#8199; 4.2 мм (уп. 10 шт.)|335|35-5-142|209,00|195,00|-||
 0|Сверло по металлу HSS&#8199; 4.8 мм (уп. 10 шт.)|335|35-5-148|240,00|225,00|-||
 0|Сверло по металлу HSS&#8199; 5.0 мм (уп. 10 шт.)|335|35-5-150|260,00|240,00|-||
 0|Сверло по металлу HSS&#8199; 5.5 мм (уп. 10 шт.)|335|35-5-155|270,00|250,00|-||blkt2
 0|Сверло по металлу HSS&#8199; 6.0 мм (уп. 10 шт.)|335|35-5-160|310,00|290,00|-||
 0|Сверло по металлу HSS&#8199; 6.5 мм (уп. 10 шт.)|335|35-5-165|390,00|370,00|-||
 0|Сверло по металлу HSS&#8199; 7.0 мм (уп. 10 шт.)|335|35-5-170|498,00|465,00|-||
 0|Сверло по металлу HSS&#8199; 8.0 мм (уп.  5 шт.)|335|35-5-180|345,00|325,00|-||
 0|Сверло по металлу HSS&#8199; 9.0 мм (уп.  5 шт.)|335|35-5-190|460,00|440,00|-||
 0|Сверло по металлу HSS       10.0 мм (уп.  5 шт.)|335|35-5-100|555,00|535,00|-||blkt2
 0|Сверло по металлу HSS       12.0 мм (уп.  5 шт.)|335|35-5-220|775,00|745,00|-||
# 388,cat388 -># 336,cat336|Свёрла по металлу HSS !Свёрла по металлу СТАНДАРТ
