~0|Бур по бетону SDS Max Pro 25 &#215;1000 мм, BERGEN|48|25 &#215;1000 мм|BM251000|2590,00|2500,00|      -||
#0|Бур по бетону SDS Max Pro 26 &#215; 400 мм, BERGEN|48|26 &#215; 400 мм|BM26400 |      -|      -|      -||blkt2
 0|Бур по бетону SDS Max Pro 26 &#215; 600 мм, BERGEN|48|26 &#215; 600 мм|BM26600 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 26 &#215;1000 мм, BERGEN|48|26 &#215;1000 мм|BM261000|      -|      -|      -||
 0|Бур по бетону SDS Max Pro 28 &#215; 400 мм, BERGEN|48|28 &#215; 400 мм|BM28400 |      -|      -|      -||blkt2
 0|Бур по бетону SDS Max Pro 28 &#215; 600 мм, BERGEN|48|28 &#215; 600 мм|BM28600 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 28 &#215; 800 мм, BERGEN|48|28 &#215; 800 мм|BM28800 |      -|      -|      -||
#0|Бур по бетону SDS Max Pro 28 &#215;1000 мм, BERGEN|48|28 &#215;1000 мм|BM281000|      -|      -|      -||
 0|Бур по бетону SDS Max Pro 30 &#215; 400 мм, BERGEN|48|30 &#215; 400 мм|BM30400 |      -|      -|      -||blkt
 0|Бур по бетону SDS Max Pro 30 &#215; 600 мм, BERGEN|48|30 &#215; 600 мм|BM30600 |      -|      -|      -||
#0|Бур по бетону SDS Max Pro 30 &#215; 800 мм, BERGEN|48|30 &#215; 800 мм|BM30800 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 30 &#215;1000 мм, BERGEN|48|30 &#215;1000 мм|BM301000|      -|      -|      -||
 0|Бур по бетону SDS Max Pro 32 &#215; 400 мм, BERGEN|48|32 &#215; 400 мм|BM32400 |      -|      -|      -||blkt2
 0|Бур по бетону SDS Max Pro 32 &#215; 600 мм, BERGEN|48|32 &#215; 600 мм|BM32600 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 32 &#215; 800 мм, BERGEN|48|32 &#215; 800 мм|BM32800 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 32 &#215;1000 мм, BERGEN|48|32 &#215;1000 мм|BM321000|      -|      -|      -||
 0|Бур по бетону SDS Max Pro 35 &#215; 400 мм, BERGEN|48|35 &#215; 400 мм|BM35400 |      -|      -|      -||blkt2
#0|Бур по бетону SDS Max Pro 35 &#215; 600 мм, BERGEN|48|35 &#215; 600 мм|BM35600 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 35 &#215; 800 мм, BERGEN|48|35 &#215; 800 мм|BM35800 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 35 &#215;1000 мм, BERGEN|48|35 &#215;1000 мм|BM351000|      -|      -|      -||
