# 49,cat49|«убила дл€ перфоратора SDS
 1|«убила плоские дл€ перфораторов SDS Max, SDS Plus     |49|      |225,75|225,75|0||norow|| RennBohr Basic|||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
#0|«убило SDS Plus &emsp;           14&#215;40&#215;250 мм GR&Ouml;NE |49|2204-71.25.40|219,00|211,00|205,00|
#1|«убило SDS Max&nbsp;                 18&#215;25&#215;280 мм MATRIX |49|70345        |198,00|198,00|198,00||norow sale1|«убила SDS Max канальные полукруглые| MATRIX|</span></p><UL><LI>»зготовлены из легированной хромованадиевой стали 40’ и закалены.<LI>ќптимально подобранные углы заточки режущей поверхности.¬ процессе работы кромка самозатачиваетс€.<LI>ѕримен€ютс€ с перфоратором в режиме удара без вращени€ дл€ <i>штроблени€</i> - производства узких каналов в бетоне, камне, кирпиче и т.д.</UL><p><span class="addt">||/img/pic/drill/small/70345.jpg|/img/pic/drill/big/jpg
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  50&#215;400 мм HAGWERT |49|509009       |298,00|280,00|270,00||ltdl
#0|«убило SDS Plus &emsp;               14&#215;40&#215;250 мм MATRIX |49|70310        |298,00|280,00|270,00||ltdl blkt

#0|«убило SDS Plus круглое              14&#215;20&#215;280 мм BERGEN |49|8101280      |269,00|262,00|255,00|
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   25&#215;400 мм HAGWERT|49|509008       |498,00|492,00|482,00|
#0|«убило SDS Max&thinsp; &nbsp;        18&#215;25&#215;280 мм MATRIX |49|70341        |225,75|225,75|225,75||ltdl
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   25&#215;400 мм BERGEN |49|8525400      |344,00|333,00|326,00|
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   50&#215;400 мм BERGEN |49|8550400      |398,00|389,00|378,00|
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  25&#215;400 мм HAGWERT|49|509008          |495,00|480,00|465,00||ltdl
#0|«убило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  25&#215;600 мм HAGWERT|49|509012          |825,00|795,00|780,00||ltdl
#0|«убило SDS Plus &nbsp; &nbsp; &nbsp; &nbsp; 40&#215;250 мм OPTIM  |49|791003          | 94,00| 94,00| 94,00|
#0|«убило SDS Max        &nbsp;&thinsp; 18&#215;25&#215;600 мм MATRIX|49|70343           |425,00|405,00|390,00||
#0|«убило SDS Plus       &nbsp;&thinsp; 14&#215;20&#215;250 мм MATRIX|49|70320           |129,00|122,00|119,00||blkt
#0|«убило SDS Max&nbsp;               18&#215;25&#215;600 MATRIX|49|70343   |325|310|295
#0|«убило SDS Max&nbsp;               18&#215;25&#215;400 MATRIX|49|70342   |245|230|220
#0|«убило SDS Max&nbsp; &nbsp;&nbsp; &nbsp; 25&#215;600 RENNBOHR|49|852560  |535|515|505
#0|«убило SDS Max&nbsp; &nbsp;&nbsp; &nbsp; 50&#215;400 RENNBOHR|49|855040  |565|545|525
#0|«убило SDS Plus&nbsp;             14&#215;20&#215;250 MATRIX|49|70320    |145|125|120
#0|«убило SDS Plus&nbsp; &nbsp;&nbsp; &nbsp; 20&#215;400 OPTIM |49|791006   |155|148|144
#1|«убило SDS Max&nbsp;               18&#215;25&#215;280 MATRIX|49|70341   |225|210|195|norow ltd|«убила плоские SDS Max, SDS Plus| HAGWERT|||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
#1|«убило SDS Max&nbsp;               18&#215;25&#215;280 MATRIX    |49|70341  |144|144|144|sale1 |«убила плоские SDS Max||||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
#0|«убило SDS Max&nbsp;               25&#215;50&#215;360 MATRIX    |49|70344  |211|211|211|norow
#1|«убило SDS Max&nbsp;                18&#215;25&#215;280 мм MATRIX|49|  70345    | 325,00| 305,00| 290,00||norow|«убило SDS Max канальное полукруглое| 18&#215;25&#215;320, MATRIX <span class=art>арт. 70345</span>|</span></p><UL><LI>»зготовлено из легированной хромованадиевой стали 40’ и закалено.<LI>ќптимально подобранные углы заточки режущей поверхности.¬ процессе работы кромка самозатачиваетс€.<LI>ѕримен€етс€ с перфоратором в режиме удара без вращени€ дл€ <i>штроблени€</i> - производства узких каналов в бетоне, камне, кирпиче и т.д.</UL><p><span class="addt">||/img/pic/drill/small/70345.jpg|/img/pic/drill/big/jpg

# 211,cat211|ѕики дл€ перфоратора SDS
#0|ѕика SDS Max &emsp; &emsp; &nbsp; &nbsp;    18&#215;600 мм OPTIM  |211|791013       |378,00|369,00|355,00||
#0|ѕика SDS Max &emsp; &emsp; &emsp; &emsp;     400 мм Rennbohr-OPTIM|211|792012       |275,00|271,00|265,00||
#0|ѕика SDS Plus &emsp; &emsp; &emsp; &emsp;    250 мм Rennbohr-OPTIM|211|792005       |129,00|125,00|121,00||blkt
#0|ѕика SDS Max кругла€                        14&#215;600 мм HAGWERT|211|509011       |469,17|458,00|440,63||
#0|ѕика SDS Max &emsp; &emsp; &nbsp; &nbsp;    18&#215;400 мм OPTIM  |211|791012       |298,00|292,00|288,00|
#0|ѕика SDS Plus &nbsp; &nbsp; &nbsp; &ensp;    &ensp; 250 мм OPTIM  |211|791005       | 98,00| 96,00| 94,00||blkt
#0|ѕика SDS Plus&nbsp;6-гранна€             14&#215;250 мм GR&Ouml;NE|211|2204-70.25.00|169,00|163,00|159,00||blkt
