




|31,00|30,00
|34,00|33,00
|35,00|34,00
|36,00|35,00
|36,00|35,00
|36,00|35,00
|37,00|36,00
|38,00|36,00
|38,00|36,00
|41,00|39,00
|44,00|41,00
|46,00|43,00
|46,00|43,00
|46,00|44,00
|49,00|48,00
|49,00|48,00
|52,00|50,00
|52,00|50,00
|54,00|51,00
|54,00|51,00
|55,00|52,00
|55,00|52,00
|56,00|55,00
|56,00|55,00
|69,00|65,00
|68,00|65,00
|70,00|68,00
|72,00|69,00
|78,00|75,00
|78,00|75,00
|80,00|77,00
|80,00|77,00
|83,00|79,00
|83,00|79,00
|86,00|84,00
|86,00|84,00
|89,00|86,00
|89,00|86,00
|90,00|87,00
|90,00|87,00
|92,00|88,00
|92,00|88,00
|92,00|88,00
|98,00|90,00
|100,00|92,00
|100,00|92,00
|105,00|95,00
|110,00|98,00
|118,00|105,00
|125,00|115,00
|125,00|115,00
|125,00|115,00
|135,00|125,00
|148,00|139,00
|139,00|127,00
|155,00|144,00
|158,00|145,00
|129,00|119,00
|195,00|178,00
|175,00|168,00
|210,00|195,00
|225,00|210,00
|110,00|95,00
|245,00|229,00
|135,00|119,00
|265,00|255,00
|145,00|125,00
|285,00|275,00
|315,00|295,00
|165,00|145,00
|335,00|315,00
|225,00|205,00
|255,00|239,00
|285,00|275,00
|285,00|275,00
|315,00|300,00
|325,00|315,00
|345,00|325,00
|415,00|395,00
|475,00|455,00
|525,00|495,00
|565,00|545,00
|665,00|645,00
|820,00|790,00
|995,00|975,00
|1240,00|1220,00
