# [2+51+14+18+45 размер + 3ц А]
# 230,cat230|Свёрла по металлу BERGEN
#1|&nbsp;&nbsp;1.0 мм|230|&#8203;1.0 мм|SMB-0100|  6,90|  6,60|  6,30||allcenter mult2 norow|Свёрла по металлу| BERGEN HSS-TiN DIN 338 /<span class="blue"> BOHRER DIN 338-RN </span>|Спиральные свёрла по металлу с цилиндрическим хвостовиком стандарта <b>DIN 338</b> (аналог <b>ГОСТ 10902-77</b>).</span></p><UL><LI>Изготовлены из быстрорежущей стали (<b>HSS</b>) с покрытием золотистого цвета из нитрида титана (<b>TiN</b>), которое значительно увеличивает срок службы инструмента (в 6 раз по сравнению со сверлами HSS-G).<LI>Титан-нитридное покрытие также уменьшает трение и прилипание материала, обеспечивая легкость реза по металлу и пластику.<LI>Подходит для большинства сортов железа, цветных металлов, легированной и нелегированной стали, кованого чугуна, твердых пластмасс и плексигласа.</UL><p><span class="addt">Цена за 1 шт.||/img/pic/drill/small/smb2v.PNG|/img/pic/drill/big/jpg
 1|&nbsp;&nbsp;1.0 мм|230|&#8203;1.0 мм|SMB-0100|  6,90|  6,60|  6,30||allcenter mult2 norow|Свёрла по металлу| BERGEN HSS-TiN DIN 338|Спиральные свёрла по металлу с цилиндрическим хвостовиком стандарта <b>DIN 338</b> (аналог <b>ГОСТ 10902-77</b>).</span></p><UL><LI>Изготовлены из быстрорежущей стали (<b>HSS</b>) с покрытием золотистого цвета из нитрида титана (<b>TiN</b>), которое значительно увеличивает срок службы инструмента (в 6 раз по сравнению со сверлами HSS-G).<LI>Титан-нитридное покрытие также уменьшает трение и прилипание материала, обеспечивая легкость реза по металлу и пластику.<LI>Подходит для большинства сортов железа, цветных металлов, легированной и нелегированной стали, кованого чугуна, твердых пластмасс и плексигласа.</UL><p><span class="addt">Цена за 1 шт.||/img/pic/drill/small/SVERLA PO METALLU BERGEN.jpg|/img/pic/drill/big/SVERLA PO METALLU BERGEN.jpg
 0|Сверло по металлу BERGEN &numsp;7.0 мм|230|&#8199;7.0 мм|SMB-0700| 43,00| 42,00| 41,00||blkt2
 0|Сверло по металлу BERGEN &numsp;7.5 мм|230|&#8199;7.5 мм|SMB-0750| 47,00| 45,00| 44,00||
 0|Сверло по металлу BERGEN &numsp;7.7 мм|230|&#8199;7.7 мм|SMB-0770| 49,00| 47,00| 45,00||
 0|Сверло по металлу BERGEN &numsp;8.0 мм|230|&#8199;8.0 мм|SMB-0800| 53,00| 52,00| 50,00||blkt2
 0|Сверло по металлу BERGEN &numsp;8.4 мм|230|&#8199;8.4 мм|SMB-0840| 54,00| 53,00| 51,00||
 0|Сверло по металлу BERGEN &numsp;8.5 мм|230|&#8199;8.5 мм|SMB-0850| 55,00| 54,00| 52,00||
 0|Сверло по металлу BERGEN &numsp;9.0 мм|230|&#8199;9.0 мм|SMB-0900| 58,00| 56,00| 54,00||blkt2
 0|Сверло по металлу BERGEN &numsp;9.4 мм|230|&#8199;9.4 мм|SMB-0940| 61,00| 59,00| 57,00||
 0|Сверло по металлу BERGEN &numsp;9.5 мм|230|&#8199;9.5 мм|SMB-0950| 68,00| 66,00| 64,00||
 0|Сверло по металлу BERGEN 10.0 мм      |230|10.0 мм      |SMB-1000| 77,00| 75,00| 73,00||blkt2
 0|Сверло по металлу BERGEN 10.5 мм      |230|10.5 мм      |SMB-1050| 81,00| 79,00| 77,00||
 0|Сверло по металлу BERGEN 11.0 мм      |230|11.0 мм      |SMB-1100| 91,00| 89,00| 86,00||blkt2
 0|Сверло по металлу BERGEN 12.0 мм      |230|12.0 мм      |SMB-1200|101,00| 99,00| 96,00||blkt2
 0|Сверло по металлу BERGEN 12.5 мм      |230|12.5 мм      |SMB-1250|111,00|108,00|104,00||
 0|Сверло по металлу BERGEN 13.0 мм      |230|13.0 мм      |SMB-1300|123,00|121,00|117,00||blkt
