# 504,cat504|Смазка для буров
#1|Смазка для буров|504|196804-7|209|204|198||norow|| Makita 196804-7, 100&thinsp;г (95&thinsp;мл) <span class=art>арт. 196804-7</span>|Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток.</span></p><UL><LI>снижает температуру и износ деталей<LI>уменьшает попадание пыли внутрь инструмента<LI>продлевает срок службы инструмента</UL><p><span class="addt">||/img/pic/drill/small/m196804-7.jpg|/img/pic/drill/big/m196804-7.jpg
#0|Смазка для буров|504|196804-7|209|204|198||

# 357,cat357|Буры Проломные для перфоратора SDS Max BERGEN
1|Бур SDS Max 10 &#215; 400                    |357|BPR456| 5690| 5620| 5555||norow|Буры проломные для перфоратора SDS Max| BERGEN|Буры проломные используются для просверливания отверстий больших диаметров и для проделывания проемов в твердых материалах (бетон, кирпич, камень и т.п.)||/img/pic/drill/small/BUR PROLOMNOY.jpg|/img/pic/drill/big/BUR PROLOMNOY.jpg
0|Бур SDS Max BERGEN проломной 45 &#215; 600 мм|357|BPR456| 5690| 5620| 5555||
0|Бур SDS Max BERGEN проломной 45 &#215;1000 мм|357|BPR451| 6990| 6920| 6850||
0|Бур SDS Max BERGEN проломной 55 &#215; 600 мм|357|BPR556| 5990| 5920| 5860||blkt2
0|Бур SDS Max BERGEN проломной 55 &#215;1000 мм|357|BPR551| 7920| 7860| 7780||
0|Бур SDS Max BERGEN проломной 68 &#215; 400 мм|357|BPR684| 6390| 6310| 6230||blkt2
0|Бур SDS Max BERGEN проломной 68 &#215; 600 мм|357|BPR686| 7590| 7510| 7440||
0|Бур SDS Max BERGEN проломной 68 &#215; 800 мм|357|BPR688| 9390| 9310| 9240||
0|Бур SDS Max BERGEN проломной 68 &#215;1000 мм|357|BPR681|10390|10290|10120||
0|Бур SDS Max BERGEN проломной 80 &#215; 600 мм|357|BPR806| 9550| 9470| 9360|| blkt2
0|Бур SDS Max BERGEN проломной 80 &#215;1000 мм|357|BPR801|12350|12230|12120||

# [2+51+14+18+45 размер + 3ц А]
# 48,cat48|Буры BERGEN Max
 1|Бур по бетону SDS Max 10 &#215; 310 мм, BERGEN|48|10 &#215; 310 мм|BM10400 | 439,00| 425,00| 416,00||blue norow mult2|Буры по бетону для перфоратора SDS Max| BERGEN|||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 0|Бур по бетону SDS Max 18 &#215; 800 мм, BERGEN|48|18 &#215; 800 мм|BM18800 |1170,00|1154,40|1133,60||
 0|Бур по бетону SDS Max 18 &#215;1000 мм, BERGEN|48|18 &#215;1000 мм|BM181000|1453,92|1419,60|1406,08||
 0|Бур по бетону SDS Max 20 &#215; 400 мм, BERGEN|48|20 &#215; 400 мм|BM20400 | 669,76| 658,32| 646,88||blkt
 0|Бур по бетону SDS Max 20 &#215; 600 мм, BERGEN|48|20 &#215; 600 мм|BM20600 | 877,76| 866,32| 854,88||
 0|Бур по бетону SDS Max 20 &#215; 800 мм, BERGEN|48|20 &#215; 800 мм|BM20800 |1201,20|1185,60|1175,20||
 0|Бур по бетону SDS Max 20 &#215;1000 мм, BERGEN|48|20 &#215;1000 мм|BM201000|1482,00|1461,20|1444,56||
 0|Бур по бетону SDS Max 22 &#215; 400 мм, BERGEN|48|22 &#215; 400 мм|BM22400 | 743,60| 733,20| 716,56||blkt2
 0|Бур по бетону SDS Max 22 &#215; 600 мм, BERGEN|48|22 &#215; 600 мм|BM22600 | 981,76| 970,32| 948,48||
 0|Бур по бетону SDS Max 22 &#215; 800 мм, BERGEN|48|22 &#215; 800 мм|BM22800 |1225,12|1201,20|1180,40||
 0|Бур по бетону SDS Max 22 &#215;1000 мм, BERGEN|48|22 &#215;1000 мм|BM221000|1523,60|1496,56|1471,60||
 0|&nbsp;|48|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||blkt2 empty
 0|&nbsp;|48|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||empty
 1|Бур по бетону SDS Max 25 &#215; 400 мм, BERGEN|48|25 &#215; 400 мм|BM25400 | 866,25| 866,02| 850,65||mult2 next norow
 0|Бур по бетону SDS Max 25 &#215; 400 мм, BERGEN|48|25 &#215; 400 мм|BM25400 | 785,20| 773,76| 762,32||
 0|Бур по бетону SDS Max 25 &#215; 600 мм, BERGEN|48|25 &#215; 600 мм|BM25600 |1037,92|1018,16|1004,64||
 0|Бур по бетону SDS Max 25 &#215; 800 мм, BERGEN|48|25 &#215; 800 мм|BM25800 |1274,00|1253,20|1236,56||
 0|Бур по бетону SDS Max 25 &#215;1000 мм, BERGEN|48|25 &#215;1000 мм|BM251000|1765,92|1731,60|1710,80||
