1|Ѕур SDS Max 10&#215;310 |48|209,00|mult2|Ѕуры по бетону| дл€ перфоратора SDS Max|||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
0|Ѕур SDS Plus 10&#215;450 |47|89,00 
0|Ѕур SDS Plus 10&#215;460 |47|93,00 
0|Ѕур SDS Plus 10&#215;600 |47|133,00 
0|Ѕур SDS Plus 12&#215;110 |47|49,00 |blkt
0|Ѕур SDS Plus 12&#215;150 |47|55,00 
0|Ѕур SDS Plus 12&#215;160 |47|55,00 
0|Ѕур SDS Plus 12&#215;210 |47|59,00 
0|Ѕур SDS Plus 12&#215;260 |47|67,00 
0|Ѕур SDS Plus 12&#215;300 |47|75,00 
0|Ѕур SDS Plus 12&#215;310 |47|78,00 
0|Ѕур SDS Plus 12&#215;400 |47|85,00 
0|Ѕур SDS Plus 12&#215;600 |47|159,00
0|Ѕур SDS Plus 12&#215;1000|47|239,00
0|Ѕур SDS Plus 14&#215;150 |47|65,00 |blkt
0|Ѕур SDS Plus 14&#215;160 |47|69,00 
0|Ѕур SDS Plus 14&#215;210 |47|76,00 
0|Ѕур SDS Plus 14&#215;260 |47|82,00 
0|Ѕур SDS Plus 14&#215;300 |47|99,00 
0|Ѕур SDS Plus 14&#215;350 |47|109,00 
0|Ѕур SDS Plus 14&#215;400 |47|122,00 
0|Ѕур SDS Plus 14&#215;600 |47|174,00
0|Ѕур SDS Plus 14&#215;1000|47|395,00
1|Ѕур SDS Plus 16&#215;300 |47|149,00|mult2 next|
0|Ѕур SDS Plus 16&#215;310 |47|149,00
0|Ѕур SDS Plus 16&#215;400 |47|169,00
0|Ѕур SDS Plus 16&#215;450 |47|179,00
0|Ѕур SDS Plus 16&#215;600 |47|212,00
0|Ѕур SDS Plus 16&#215;1000|47|469,00
0|Ѕур SDS Plus 18&#215;300 |47|159,00|blkt
0|Ѕур SDS Plus 18&#215;400 |47|189,00
0|Ѕур SDS Plus 18&#215;600 |47|269,00
0|Ѕур SDS Plus 18&#215;1000|47|588,00
0|Ѕур SDS Plus 20&#215;300 |47|169,00|blkt
0|Ѕур SDS Plus 20&#215;310 |47|179,00
0|Ѕур SDS Plus 20&#215;350 |47|189,00
0|Ѕур SDS Plus 20&#215;400 |47|217,00
0|Ѕур SDS Plus 20&#215;600 |47|299,00
0|Ѕур SDS Plus 20&#215;800 |47|579,00
0|Ѕур SDS Plus 20&#215;1000|47|729,00
0|Ѕур SDS Plus 22&#215;300 |47|220,00|blkt
0|Ѕур SDS Plus 22&#215;350 |47|227,00
0|Ѕур SDS Plus 22&#215;400 |47|299,00
0|Ѕур SDS Plus 22&#215;600 |47|499,00
0|Ѕур SDS Plus 22&#215;800 |47|558,00
0|Ѕур SDS Plus 22&#215;1000|47|819,00
0|Ѕур SDS Plus 24&#215;300 |47|239,00|blkt
0|Ѕур SDS Plus 24&#215;350 |47|259,00
0|Ѕур SDS Plus 24&#215;400 |47|299,00
0|Ѕур SDS Plus 24&#215;600 |47|479,00
0|Ѕур SDS Plus 24&#215;800 |47|741,00
0|Ѕур SDS Plus 24&#215;1000|47|818,00
0|Ѕур SDS Plus 25&#215;600 |47|515,00|blkt
0|Ѕур SDS Plus 25&#215;1000|47|879,00
0|Ѕур SDS Plus 26&#215;300 |47|289,00   |blkt
0|Ѕур SDS Plus 26&#215;400 |47|335,00
0|Ѕур SDS Plus 26&#215;600 |47|525,00
0|Ѕур SDS Plus 26&#215;800 |47|755,00
0|Ѕур SDS Plus 26&#215;1000|47|829,00
0|Ѕур SDS Plus 28&#215;300 |47|359,00|blkt
0|Ѕур SDS Plus 28&#215;400 |47|499,00
0|Ѕур SDS Plus 28&#215;600 |47|669,00
0|Ѕур SDS Plus 28&#215;800 |47|899,00
0|Ѕур SDS Plus 28&#215;1000|47|958,00
0|Ѕур SDS Plus 30&#215;300 |47|395,00|blkt
0|Ѕур SDS Plus 30&#215;400 |47|595,00
0|Ѕур SDS Plus 30&#215;600 |47|695,00
0|Ѕур SDS Plus 30&#215;800 |47|995,00
0|Ѕур SDS Plus 30&#215;1000|47|1290,00
0|Ѕур SDS Plus 32&#215;300 |47|495,00|blkt
0|Ѕур SDS Plus 32&#215;460 |47|695,00
0|Ѕур SDS Plus 32&#215;800 |47|1245,00
0|Ѕур SDS Plus 32&#215;1000|47|1490,00
