1|Миксер оцинкованный SiB D &nbsp;&nbsp;60&nbsp;мм, L 400&nbsp;мм|69|84807-SIB|110.00||Миксеры для перемешивания краски, раствора оцинкованные| SiB|Миксеры универсальные для перемешивания красок и штукатурных смесей. Применяются в качестве насадки на электроинструмент.||/img/pic/shmal/small/Mixer.jpg|/img/pic/shmal/big/Mixer.jpg
0|Миксер оцинкованный SiB D &nbsp;&nbsp;80&nbsp;мм, L 450&nbsp;мм|69|84810-SIB|129.00
0|Миксер оцинкованный SiB D 100&nbsp;мм, L 450&nbsp;мм|69|84813-SIB|139.00
0|Миксер оцинкованный SiB D 120&nbsp;мм, L 570&nbsp;мм|69|84815-SIB|199.00
1|Рукоятка телескопическая 0.75&nbsp;-&nbsp;1.5&nbsp;м|69|81230|129.00||Рукоятки телескопические металлические| MATRIX
0|Рукоятка телескопическая &nbsp;&nbsp;1.5&nbsp;-&nbsp;3.0&nbsp;м|69|81232|177.00
1|Кювета для валиков 330х350&nbsp;мм|69||75.00||Кюветы пластмассовые для валиков|
0|Кювета для валиков 260х320&nbsp;мм|69||65.00
1|Пробник 130 мм, 100-500 В|69||16||Тестеры напряжения| (пробники)
0|Пробник 190 мм, 100-500 В|69||19
