# 302|Буры по бетону для перфоратора SDS Plus DUO (RennBohr, Франция)
 1|Бур по бетону SDS+ Duo RennBohr &numsp;5 &#215; 160 мм|302|&numsp;5 &#215; 160|590611|19|235|341|norow|Буры по бетону для перфоратора SDS+| "Duo" (RennBohr, Франция)|</span></p><UL><LI>Сверло-бур по бетону и камню с хвостовиком SDS plus RennBohr "Duo" имеет напайку повышенной прочности и центрирующий наконечник для точного засверливания.<LI>Угол вершины, приближенный к 180°, усиливает эффект долбления.<LI>Канавка оптимальной глубины и формы с компрессионными и декомпрессионными участками способствуют быстрому выводу шлама.<LI>Усиленная основа предотвращает изгиб бура при попадании в арматуру и других боковых нагрузках.</UL><p><span class="addt">||/img/pic/drill/small/DUO1.JPG|/img/pic/drill/big/DUO2.jpg
 0|Бур по бетону SDS+ &numsp;8 &#215; &numsp;300 мм MATRIX       |311|&numsp;8 &#215; &numsp;300 мм MATRIX       |71038    |268| 44,00|
 0|Бур по бетону SDS+       10 &#215; &numsp;110 мм MATRIX       |311|10       &#215; &numsp;110 мм MATRIX       |71007    |163| 44,00|
 0|Бур по бетону SDS+       10 &#215; &numsp;160 мм UNIVERSE     |311|10       &#215; &numsp;160 мм UNIVERSE     |UBP010160|  3| 33,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;210 мм SPARTA / LAST|311|12       &#215; &numsp;210 мм SPARTA / LAST|SP12210  | 29| 33,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;300 мм MATRIX       |311|12       &#215; &numsp;300 мм MATRIX       |71037    | 60| 33,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;300 мм SPARTA / LAST|311|12       &#215; &numsp;300 мм SPARTA / LAST|SP12300  | 14| 25,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;400 мм MATRIX       |311|12       &#215; &numsp;400 мм MATRIX       |71042    |  1| 44,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;600 мм MATRIX       |311|12       &#215; &numsp;600 мм MATRIX       |71063    | 24| 77,00|
 0|Бур по бетону SDS+       12 &#215; &numsp;600 мм PRORAB       |311|12       &#215; &numsp;600 мм PRORAB       |PR12600  | 16| 60,00|
 0|Бур по бетону SDS+       12 &#215;       1000 мм STRONG       |311|12       &#215;       1000 мм STRONG       |STR.1210 |  2|110,00|
 0|Бур по бетону SDS+       14 &#215; &numsp;160 мм MATRIX       |311|14       &#215; &numsp;160 мм MATRIX       |71024    | 67| 22,00|
 0|Бур по бетону SDS+       14 &#215; &numsp;210 мм MATRIX       |311|14       &#215; &numsp;210 мм MATRIX       |71033    |119| 22,00|
 0|Бур по бетону SDS+       14 &#215; &numsp;600 мм MATRIX       |311|14       &#215; &numsp;600 мм MATRIX       |71064    | 19| 55,00|
 0|Бур по бетону SDS+       14 &#215; &numsp;800 мм MATRIX       |311|14       &#215; &numsp;800 мм MATRIX       |71084    | 12| 77,00|
 0|Бур по бетону SDS+       16 &#215; &numsp;800 мм MATRIX       |311|16       &#215; &numsp;800 мм MATRIX       |71086    |  4|110,00|
 0|Бур по бетону SDS+       20 &#215; &numsp;800 мм MATRIX       |311|20       &#215; &numsp;800 мм MATRIX       |71090    |  3|120,00|
 0|Бур по бетону SDS+       24 &#215; &numsp;300 мм MATRIX       |311|24       &#215; &numsp;300 мм MATRIX       |70918    |  1|120,00|
 0|Бур по бетону SDS+       24 &#215; &numsp;300 мм SPARTA / LAST|311|24       &#215; &numsp;300 мм SPARTA / LAST|SP24300  |  3|120,00|
 0|Бур по бетону SDS+       24 &#215; &numsp;400 мм MATRIX       |311|24       &#215; &numsp;400 мм MATRIX       |70942    | 10|120,00|
