1|Пена "МАКРОФЛЕКС" 750 мл|175|625428|255|245|235||Монтажная пена| летняя|<UL><LI>Летняя монтажная пена <b>MAKROFLEX</b> используется при температуре окружающей среды не ниже + 5&deg; С. <LI>Выход до 50 л. <LI>Для бытового и профессионального (под пистолет) использования.</UL>||/img/pic/foam/small/PENA LETO MAKROFLEX.jpg|/img/pic/foam/big/PENA LETO MAKROFLEX.jpg
0|Пена "МАКРОФЛЕКС" ПРОФИ 750 мл|175|625427|265|255|245

1|Монтажный клей Момент Монтаж Экспресс|270|600618|155|148|144||Монтажный клей| Момент Монтаж Экспресс (Хенкель, Германия), 400 г <span class=art>арт. 600618</span>|<UL><LI>Состав: Полиакрилат - водная дисперсия.<LI>Открытое время (для позиционирования склеиваемых деталей) 15 минут.<LI>Первоначальная (в момент приклеивания) сила схватывания 50 кг/кв.м.<LI>Не содержит растворитель, без запаха, подходит для наружных и внутренних работ.<LI>Цвет: белый. Идеален для приклеивания изделий из пенополистирола.</UL>||/img/pic/foam/small/600618.jpg|/img/pic/foam/big/600618.jpg
1|Монтажный клей Момент Монтаж Универсальный|270|782493|138|133|128||Монтажный клей| Момент Монтаж Универсальный (Хенкель, Германия), 400 г <span class=art>арт. 782493</span>|<UL><LI>Состав: Синтетический каучук, смолы, наполнитель, смесь алифатических углеводородов.<LI>Открытое время (для позиционирования склеиваемых деталей) 10 минут.<LI>Температура эксплуатации клеевого соединения от -40&deg; С до +50&deg; С.<LI>Идеален для впитывающих и невпитывающих поверхностей, подходит для пенополистирола.</UL>||/img/pic/foam/small/782493.jpg|/img/pic/foam/big/782493.jpg

1|Герметик силиконовый "CYCLONE" прозрачный 280 мл|176|01-4-1-042|125|118|108|neat|Силикон ПРОЗРАЧНЫЙ| CYCLONE 12, 280 мл <span class=art>арт. 01-4-1-042</span>|Санитарный эластичный силиконовый герметик ацетатного отвердения для эластичной герметизации и склеивания.<UL><LI>Для внутренних и наружных работ<LI>Для санитарных и стекольных работ<LI>Xорошо приклеивается к стеклу, керамике и др. непористым поверхностям<LI>Не пригоден для поверхностей, реагирующих с уксусной кислотой<LI>Термостойкость от -30 &deg; C до +120 &deg; C<LI>Срок хранения 12 месяцев.</UL></span></p></td><td class=nop align=center width=1><a href=/img/pic/foam/big/CYCLONE_Silicone_12.pdf target=_blank><img src=/img/pic/foam/small/CYCLONE_Silicone_12.gif title="Технические характеристики"></a><p><span>||/img/pic/foam/small/NEWE_ RU_ SILICONE CYCLON_BELY I PROZRACHNY.jpg|/img/pic/foam/big/NEWE_ RU_ SILICONE CYCLON_BELY I PROZRACHNY.jpg
1|Герметик силиконовый "CYCLONE" белый 280 мл|176|01-4-1-041|125|118|108|neat|Силикон БЕЛЫЙ| CYCLONE 12, 280 мл <span class=art>арт. 01-4-1-041</span>|Санитарный эластичный силиконовый герметик ацетатного отвердения для эластичной герметизации и склеивания.<UL><LI>Для внутренних и наружных работ<LI>Для санитарных и стекольных работ<LI>Xорошо приклеивается к стеклу, керамике и др. непористым поверхностям<LI>Не пригоден для поверхностей, реагирующих с уксусной кислотой<LI>Термостойкость от -30 &deg; C до +120 &deg; C<LI>Срок хранения 12 месяцев.</UL></span></p></td><td class=nop align=center width=1><a href=/img/pic/foam/big/CYCLONE_Silicone_12.pdf target=_blank><img src=/img/pic/foam/small/CYCLONE_Silicone_12.gif title="Технические характеристики"></a><p><span>||/img/pic/foam/small/NEWE_ RU_ SILICONE CYCLON_BELY I PROZRACHNY.jpg|/img/pic/foam/big/NEWE_ RU_ SILICONE CYCLON_BELY I PROZRACHNY.jpg
1|Герметик кровельный черный (битумный) CYCLONE BITUMEN 69, 280 мл|176|01-4-8-021|145|135|130| neat|Герметик КРОВЕЛЬНЫЙ черный| CYCLONE BITUMEN 69, 280 мл <span class=art>арт. 01-4-8-021</span>|Пластоэластичная уплотнительная масса на основе битума для кровельных работ.<UL><LI>Быстро образует поверхностную пленку, устойчив к воздействию дождя, УФ-лучей и холода<LI>Термостойкость более +100 &deg; С<LI>Водостойкий<LI>Срок хранения 18 месяцев.</UL></span></p></td><td class=nop align=center width=1><a href=/img/pic/foam/big/CYCLONE_BITUMEN_69.pdf target=_blank><img src=/img/pic/foam/small/CYCLONE_BITUMEN_69.gif title="Технические характеристики"></a><p><span>||/img/pic/foam/small/NEWE_ RU_ SILICONE CYCLON_BITUMNY_BLACK.jpg|/img/pic/foam/big/NEWE_ RU_ SILICONE CYCLON_BITUMNY_BLACK.jpg
1|Герметик жаростойкий красный CYCLONE THERMO 67, 280 мл|176|01-4-8-023|215|195|190| neat|Герметик ЖАРОСТОЙКИЙ красный| CYCLONE THERMO 67, 280 мл <span class=art>арт. 01-4-8-023</span>|<UL><LI>Термостойкость от -65 &deg; C до +315 &deg; C<LI>Химически устойчив.<LI>Отличное сцепление к металлу, стеклу, плитке, дереву и многим другим поверхностям.<LI class=inner><UL><LI>Уплотнение головки автомобильных двигателей.<LI>Уплотнение печных и вентиляционных ходов.<LI>Уплотнение обогревательных и отопительных устройств.</UL></UL>||/img/pic/foam/small/NEWE_ RU_ SILICONE CYCLON_THERMOSTOJKI.jpg|/img/pic/foam/big/NEWE_ RU_ SILICONE CYCLON_THERMOSTOJKI.jpg
