1|Пена KIM TEC MegaSchaum             |175|01-03-01||Пена монтажная| KIM TEC PU Schaum бытовая, летняя, 750 мл (производство Германия) <span class=art>арт. 01-03-01</span>|Бытовая пена KIM TEC PU Schaum летняя представляет собой однокомпонентную полиуретановую пену, готовую к применению. Под воздействием влаги воздуха или введенной влаги превращается в полутвердый эластичный пенопласт.<UL><LI>Хорошая адгезия к разным поверхностям без применения грунтов, стойкость к старению, к воздействию кислот и щелочей. Увеличение объема пены в три раза.<LI>Возможность покраски и штукатурки.<LI>Используется при температуре окружающей среды от +5&deg;С.<LI>Имеются  <a href=/img/pic/foam/big/Tech_Description_01-03-01.pdf target=_blank title="Документ PDF">Техническое описание</a> и <a href=/img/pic/foam/big/Cert_01-03-14.png target=_blank title="Сертификат Роспотребнадзора">Сертификат Роспотребнадзора</a>.</UL><p><span class="addt">||/img/pic/foam/small/01-03-01.jpg|/img/pic/foam/big/01-03-01.jpg

1|Герметик акриловый KIM TEC Acryl 201 белый, 310 мл        |176|02-04-71|neat norow|Герметик акриловый| KIM TEC Acryl 201, 310 мл (производство Германия)|Пластический, эластичный, легко применяемый однокомпонентный герметик. KIM-TEC Acryl 201 разработан на основе высококачественной акриловой дисперсии с добавкой компонента, снижающего температуру замерзания.<UL><LI>Легко наносим, безвреден для окружающей среды, не содержит растворителей, совместим со многими красками.<LI>Применим для склеивания, заполнения и герметизации швов и исправлению дефектов различных поверхностей.<LI>Позволяет проводить заделочные работы на вертикальных и потолочных поверхностях.<LI>Имеется  <a href=/img/pic/foam/big/Tech_Description_201.jpg target=_blank>техническое описание</a>.</UL><p><span class="addt">||/img/pic/foam/small/KIM_TEC_201.jpg|/img/pic/foam/big/KIM_TEC_201.jpg
0|Герметик акриловый KIM TEC Acryl 201 белый, 310 мл        |176|02-04-71
1|Герметик акриловый KIM TEC Silacryl 121 белый, 310 мл     |176|02-04-72|neat|Герметик акриловый| KIM TEC Silacryl 121, 310 мл (производство Германия)|Уплотнитель многостороннего применения, акрил на основе полиакрилата, который под воздействием влаги воздуха быстро превращается в прозрачный уплотнитель, обладающий высокой эластичностью и прочностью.<UL><LI>Неогнеопасный, морозостойкий, окрашиваемый, эластичный, в его составе отсутствуют органические растворители.<LI>Обладает адгезией к разным материалам без использования грунтовок; можно наносить на вертикальные и потолочные поверхности.<LI>Имеются  <a href=/img/pic/foam/big/Tech_Description_121.pdf target=_blank title="Документ PDF">Техническое описание</a> и <a href=/img/pic/foam/big/Cert_121.png target=_blank title="Сертификат Роспотребнадзора">Сертификат Роспотребнадзора</a>.</UL><p><span class="addt">||/img/pic/foam/small/KIM_TEC_121.jpg|/img/pic/foam/big/KIM_TEC_121.jpg
0|Герметик акриловый KIM TEC Silacryl 121 бесцветный, 310 мл|176|02-04-73
1|Герметик KIM TEC Silicon 101E белый, 310 мл               |176|02-01-31|neat|Герметик силиконовый| KIM TEC Silicon 101E, 310 мл (производство Германия)|Однокомпонентный cиликоновый каучук многостороннего применения, используемый в качестве герметика и клея.<UL><LI>УФ-стойкий, антигрибковый, атмосферостойкий, износостойкий, неогнеопасный, температуростойкий, неокрашиваемый, цветостойкий, эластичный.<LI>Устойчив к изменению температуры (от -50 &deg; C до +180 &deg; C) и ультрафиолетовому облучению.<LI>Обладает хорошей адгезией к стеклу, керамике, стеклоподобным поверхностям, анодированному аллюминию, окрашенным и другим поверхностям без применения грунтов; можно наносить на вертикальные и потолочные поверхности.<LI>Имеются  <a href=/img/pic/foam/big/Tech_Description_101E.pdf target=_blank title="Документ PDF">Техническое описание</a> и <a href=/img/pic/foam/big/Cert_101E.png target=_blank title="Сертификат Роспотребнадзора">Сертификат Роспотребнадзора</a>.</UL><p><span class="addt">||/img/pic/foam/small/KIM_TEC_101E.jpg|/img/pic/foam/big/KIM_TEC_101E.jpg
0|Герметик KIM TEC Silicon 101E бесцветный, 310 мл          |176|02-01-32
0|Герметик KIM TEC Silicon 101E серый,      310 мл          |176|02-01-37
1|Герметик KIM TEC NeutralSilicon 301N бесцветный, 310 мл   |176|02-01-62|neat norow|Герметик силиконовый| KIM TEC NeutralSilicon 301N, 310 мл (производство Германия)|Готовый к применению однокомпонентный уплотнитель.<UL><LI>УФ-стойкий, антигрибковый, атмосферостойкий, износостойкий, агдезионный, неокрашиваемый, цветостойкий, эластичный.<LI>Обеспечивает высокую адгезию практически ко всем строительным материалам: бетону, штукатурке, кирпичной кладке, cтеклу, керамике, жесткому ПВХ, алюминию.<LI>Имеются  <a href=/img/pic/foam/big/Tech_Description_301N.pdf target=_blank title="Документ PDF">Техническое описание</a> и <a href=/img/pic/foam/big/Cert_301N.png target=_blank title="Сертификат Роспотребнадзора">Сертификат Роспотребнадзора</a>.</UL><p><span class="addt">||/img/pic/foam/small/KIM_TEC_301N.jpg|/img/pic/foam/big/KIM_TEC_301N.jpg
0|Герметик KIM TEC NeutralSilicon 301N бесцветный, 310 мл   |176|02-01-62
1|Герметик KIM TEC Bitumen 808, 310 мл                      |176|02-01-88|neat norow|Битумный герметик| KIM TEC Bitumen 808, 310 мл, черный (производство Германия)|Пластичный герметик черного цвета на основе битума.<UL><LI>Отличная адгезия к бетону, штукатурке, каменной кладке, металлу, стеклу.<LI>Устойчив к старению, атмосферным осадкам, агрессивным химическим средам.<LI>Не растекается при высоких температурах.<LI>Термостойкость от -40&deg;С до +95&deg;С. Температура применения от -10&deg;С до +30&deg;С.<LI>Имеются  <a href=/img/pic/foam/big/Tech_Description_808.pdf target=_blank title="Документ PDF">Техническое описание</a> и <a href=/img/pic/foam/big/Cert_301N.png target=_blank title="Сертификат Роспотребнадзора">Сертификат Роспотребнадзора</a>.</UL><p><span class="addt">||/img/pic/foam/small/KIM_TEC_808.jpg|/img/pic/foam/big/KIM_TEC_808.jpg
0|Герметик KIM TEC Bitumen 808, 310 мл                      |176|02-01-88
