0|Щетка по металлу 6-рядная|240|S6R|25.00|23
1|Щетка по металлу ручная|240|748675|42.00|39||| 5-рядная металлическая в пластмассовом корпусе с пластмассовой ручкой SPARTA <span class=art>арт. 748675</span>|||/img/pic/strhoz/small/748675.jpg|/img/pic/strhoz/big/jpg
№1|Щетка по металлу ручная|240|748505|29.00|27||| SPARTA <span class=art>арт. 748505</span>|120 мм, металлическая проволока, латунное покрытие, пластмассовая ручка.||/img/pic/strhoz/small/748505.jpg|/img/pic/strhoz/big/jpg

1|Нож 18&nbsp;мм, выдвижное лезвие|-107||12.90|11.90||| MATRIX <span class=art>арт. 78929</span> или HOBBI <span class=art>арт. 19-0-003</span>|Нож общего назначения с выдвижным лезвием шириной 18 мм; блокировка лезвия||/img/pic/strhoz/small/Nozs vydv lezv 18 mm.jpg|/img/pic/strhoz/big/Nozs vydv lezv 18 mm.jpg
1|Нож 18&nbsp;мм, выдвижное лезвие|-107||16.00|-||| SPARTA <span class=art>арт. 78974</span>|Автоматическая фиксация лезвия .||/img/pic/strhoz/small/78974.jpg|/img/pic/strhoz/big/jpg
1|Нож 18&nbsp;мм, выдвижное лезвие|107||17.00|15.00||| MATRIX <span class=art>арт. 78929</span>|Нож общего назначения с выдвижным лезвием шириной 18 мм; блокировка лезвия||/img/pic/strhoz/small/Nozs vydv lezv 18 mm.jpg|/img/pic/strhoz/big/Nozs vydv lezv 18 mm.jpg
1|Нож 18&nbsp;мм, выдвижное лезвие с металлической направляющей|107||32.00|29||| MATRIX <span class=art>арт. 78918</span>|Нож общего назначения с выдвижным лезвием шириной 18 мм; автоматическая блокировка лезвия.<br>Применение: для резания бумаги, картона и др. материалов.||/img/pic/strhoz/small/Nozs vydv lezv 18 mm met napr.jpg|/img/pic/strhoz/big/Nozs vydv lezv 18 mm met napr.jpg
1|Нож 18&nbsp;мм|-107||39.00|-||Нож 18&nbsp;мм|, выдвижное лезвие, автофиксатор, усиленный "МОДЕРН"<span class=art>арт. 19-0-211 или 19-0-210</span>|Нож общего назначения с выдвижным лезвием шириной 18 мм; автоматическая блокировка лезвия. Обрезиненная рукоятка.<br></b>Применение:</b> для резания бумаги, картона и др. материалов.||/img/pic/strhoz/small/Nozs MODERN.jpg|/img/pic/strhoz/big/Nozs MODERN.jpg
1|Нож сапожный 180&nbsp;мм|107||66.00|62||| (Россия) <span class=art>арт. 78995</span>|||/img/pic/strhoz/small/Nozs sapojny.jpg|/img/pic/strhoz/big/Nozs sapojny.jpg
