1|Лезвия для ножей 25&nbsp;мм|107|122.00|||<span class=art> арт. 793325</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/Lezvija 25 mm.jpg|/img/pic/strhoz/big/Lezvija 25 mm.jpg
1|Лезвия трапеция прямые 18&nbsp;мм|107|24.00||| MATRIX <span class=art>арт. 793555</span>|Материал изготовления - сталь твердостью 65 HRс.<br>Цена за упаковку 5 шт.||/img/pic/strhoz/small/793555.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 18&nbsp;мм|107|22.00||| SPARTA <span class=art>арт. 78969</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/lezvia_sparta2.jpg|/img/pic/strhoz/big/jpg
1|Лезвия для ножей 18&nbsp;мм&nbsp;x&nbsp;100&nbsp;мм (14 сегментов)|107|26.00||| HOBBI <span class=art>арт. 19-2-401</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/hobbi.jpg|/img/pic/strhoz/big/jpg
1|Ножницы хозяйственные|-107|169.00||Ножницы хозяйственные|, 280 мм<span class=artn>арт. </span>|Нержавеющая сталь, 2-компонентные рукоятки.<br>Твердость по Роквеллу 56 Hrc||/img/pic/strhoz/small/Noznicy.jpg|/img/pic/strhoz/big/Noznicy.jpg

1|Маркер перманентный промышленный|109|69.00||| толщина линии 0,3&nbsp;мм:<table cellpadding=0 cellspacing=0 border=0><tr><td>красный<td class=art>арт. Е140-2<tr><td>черный<td class=art>арт. Е140-1</table>|Керамика, кафель, стекло, пластик, пленки, картон, металл||/img/pic/strhoz/small/Marker E-140 line 03.jpg|/img/pic/strhoz/big/Marker E-140 line 03.jpg
1|Маркер перманентный промышленный|109|69.00||| толщина линии 0,6&nbsp;мм:<table cellpadding=0 cellspacing=0 border=0><tr><td>красный<td class=art>арт. Е141-2<tr><td>черный<td class=art>арт. Е141-1</table>|Керамика, кафель, стекло, пластик, пленки, картон, металл||/img/pic/strhoz/small/Marker E-141 line 06.jpg|/img/pic/strhoz/big/Marker E-141 line 06.jpg
1|Маркер перманентный промышленный|109|89.00||| толщина линии 1,5-3,0&nbsp;мм:<table cellpadding=0 cellspacing=0 border=0><tr><td>красный<td class=art>арт. Е8300-2<tr><td>черный<td class=art>арт. Е8300-1</table>|Металл, ржавый металл, дерево, бетон, крипич, камень,керамика, кафель, стекло, пластик, пленки, картон||/img/pic/strhoz/small/Marker E-8300 white.jpg|/img/pic/strhoz/big/Marker E-8300 white.jpg
1|Маркер перманентный промышленный|109|159.00||| толщина линии 2,0-4,0&nbsp;мм:<table cellpadding=0 cellspacing=0 border=0><tr><td>белый<td class=art>арт. Е-875049<tr><td>красный<td class=art>арт. Е-875049-2-RED<tr><td>черный<td class=art>арт. Е-875049-1-BLACK</table>|Металл, ржавый металл, дерево, бетон, крипич, камень,керамика, кафель, стекло, пластик, пленки, картон||/img/pic/strhoz/small/Marker E-8750 white.jpg|/img/pic/strhoz/big/Marker E-8750 white.jpg
1|Маркер перманентный|109|12.00||| "BEIFA" черный <span class=art>арт. AD8004</span>|||/img/pic/strhoz/small/Marker BEIFA.jpg|/img/pic/strhoz/big/Marker BEIFA.jpg
1|Мелок|109|17.00||| для БЕТОНА 20&nbsp;&#215;&nbsp;20&nbsp;&#215;&nbsp;100&nbsp;мм <span class=art>арт. L4911100</span>|Цена за 1 шт.||/img/pic/strhoz/small/MEL--po BETONU.jpg|/img/pic/strhoz/big/MEL--po BETONU.jpg
1|Мел белый|109|44.00||| GIOTTO d.&nbsp;10&nbsp;&#215;&nbsp;100&nbsp;мм <span class=art>арт. F538700</span>|Цена за упаковку 10 шт.||/img/pic/strhoz/small/MEL---GIOTTO-upakovka.jpg|/img/pic/strhoz/big/MEL---GIOTTO-upakovka.jpg

1|Веревка ПА д.10 мм|186|33.00||Веревка полиамидная| 24-прядная|В отдельных бухтах. Высокая прочность, стойкость ко многим химическим реагентам<br>Цена с НДС за погонный метр||/img/pic/strhoz/small/verevka poliam 24 pr.jpg|/img/pic/strhoz/big/verevka poliam 24 pr.jpg
0|Веревка ПА д.12 мм|186|39.00
0|Веревка ПА д.16 мм|186|66.00
1|Веревка ХБ д.10 мм|186|266.00||Веревка хлопчатобумажная| крученая|В отрезках по 11 погонных метров.<br>Цена с НДС за отрезок 11 метров||/img/pic/strhoz/small/verevka hb.jpg|/img/pic/strhoz/big/verevka hb.jpg
0|Веревка ХБ д.12 мм|186|280.00
0|Веревка ХБ д.16 мм|186|370.00

1|Степлер мебельный|188|320.00||| MATRIX Standard|Тип скобы: 53, 6-14 мм||/img/pic/instr/small/STEPLER standart A.jpg|/img/pic/instr/big/STEPLER standart A.jpg
1|Степлер мебельный|188|370.00||| MATRIX Professional|Изготовлен из хромированной стали, имеет функцию ускоренной загрузки скоб. Оснащен двухпозиционным контролем силы удара и глубины забивания скоб.<br>Тип скобы: 13, 53, 300; 6-14 мм||/img/pic/strhoz/small/Stepler.jpg|/img/pic/strhoz/big/Stepler.jpg
1|Степлер мебельный|188|490.00||| GROSS|Корпус из высокопрочного пластика, обрезиненная рукоятка с горизонтальной фиксацией. Регулировка усилия забивания скобы.<br>Применяется в работах по обивке мебели, фиксации низковольтных кабелей и т.д. Профессиональное использование.<br>Тип скобы: 53, 36, 300, 500, 8-14 мм||/img/pic/strhoz/small/STEPLER GROSS.jpg|/img/pic/strhoz/big/STEPLER GROSS.jpg
1|Скоба для степлера, 6 мм|188|19.00||Скобы для степлера|, тип 53|Цена с НДС за упаковку 1000 шт.||/img/pic/strhoz/small/Scoby.jpg|/img/pic/strhoz/big/Scoby.jpg
0|Скоба для степлера, 8 мм|188|22.00
0|Скоба для степлера, 10 мм|188|29.00
0|Скоба для степлера, 12 мм|188|32.00
0|Скоба для степлера, 14 мм|188|37.00

1|Карандаш малярный|231|44.00||| 180&nbsp;мм|Цена за упаковку 12 карандашей||/img/pic/strhoz/small/KARANDASH MALIARNY.jpg|/img/pic/strhoz/big/KARANDASH MALIARNY.jpg
1|Шнур разметочный|231|45.00||| 15&nbsp;м "SPARTA" <span class=art>арт. 848515</span>|Пластмассовый обрезиненный корпус.||/img/pic/strhoz/small/shnur_sparta.jpg|/img/pic/strhoz/big/shnur_sparta.jpg
1|Шнур разметочный|231|159.00||| 30&nbsp;м <span class=art>арт. 84855</span>|Предназначен для нанесения вертикальной и горизонтальной разметки при проведении строительных и отделочных работ. Также может использоваться в качестве отвеса.<UL><LI>пластмассовый обрезиненный корпус<LI>порошок мел красный 115 г</UL>||/img/pic/strhoz/small/SHNUR RAZMETOCHNY.jpg|/img/pic/strhoz/big/SHNUR RAZMETOCHNY.jpg
1|Порошок меловой СИНИЙ|231|45.00||| для разметочных шнуров "MATRIX" 115&nbsp;г <span class=art>арт. 84860</span>|||/img/pic/strhoz/small/mel_matrix.jpg|/img/pic/strhoz/big/mel_matrix.jpg

1|Гидроуровень со шкалой, 8&nbsp;мм, &nbsp;&nbsp;7&nbsp;м|108|37063|139.00||Гидроуровни со шкалой| "БАРС" (Россия)|<UL><LI>удлиненная колба<LI>рельефная градуировка</UL>||/img/pic/strhoz/small/Gidrouroven.jpg|/img/pic/strhoz/big/Gidrouroven.jpg
0|Гидроуровень со шкалой, 8&nbsp;мм, 10&nbsp;м|108|37064|159.00
0|Гидроуровень со шкалой, 8&nbsp;мм, 15&nbsp;м|108|37066|199.00
0|Гидроуровень со шкалой, 8&nbsp;мм, 20&nbsp;м|108|37067|215.00
0|Гидроуровень со шкалой, 8&nbsp;мм, 25&nbsp;м|108|37069|235.00
1|Отвес конусный 100 г, &nbsp;&nbsp;5&nbsp;м|108||55.00||Отвесы конусные||||/img/pic/strhoz/small/Otves konus.jpg|/img/pic/strhoz/big/Otves konus.jpg
0|Отвес конусный 200 г, &nbsp;&nbsp;5&nbsp;м|108||67.00
0|Отвес конусный 300 г, &nbsp;&nbsp;5&nbsp;м|108||72.00
0|Отвес конусный 400 г, &nbsp;&nbsp;5&nbsp;м|108||87.00
