1|Лом-гвоздодер D 18 мм, L 400 мм|162|89.00|85.00||Ломы-гвоздодеры| круглые|||/img/pic/strhoz/small/LOm gvozdoder.jpg|/img/pic/strhoz/big/LOm gvozdoder.jpg
0|Лом-гвоздодер D 20 мм, L 600 мм|162|99.00|95.00
1|Лом-гвоздодер усиленный 450 x 25 x 12 мм|162|235.00|225.00||Ломы-гвоздодеры| усиленные|||/img/pic/strhoz/small/jpg|/img/pic/strhoz/big/jpg
0|Лом-гвоздодер усиленный 600 x 29 x 15 мм|162|335.00|315.00
0|Лом-гвоздодер усиленный 900 x 29 x 15 мм|162|375.00|365.00
1|Грабли веерные|162|89.00|84.00|||, 22 плоских зуба|||/img/pic/strhoz/small/grabli veernye.jpg|/img/pic/strhoz/big/grabli veernye.jpg
1|Грабли витые|162|89.00|84.00|||, 12 зубьев, 360&nbsp;мм|||/img/pic/strhoz/small/grabli vitye.jpg|/img/pic/strhoz/big/grabli vitye.jpg
1|Кирка|162|680.00|640.00|inline||, обрезиненная рукоятка, 1,5 кг, 900&nbsp;мм|||/img/pic/strhoz/small/KIRKA.jpg|/img/pic/strhoz/big/KIRKA.jpg
1|Ледоруб-топор сварной|162|275.00|260.00||| 1200 x 140 мм, 2.2 кг, топор типоразмера Б3 по <a href="http://magicad.su/magicad_docs/4/4132/index.htm"  target="_blank" title="Топоры_строительные._Технические_условия">ГОСТ 18578-89</a>, металлический черенок <span class=art>арт. IVA-05-LT</span>|||/img/pic/strhoz/small/LEDORUB TOPOR.jpg|/img/pic/strhoz/big/LEDORUB TOPOR.jpg
1|Ледоруб-скребок|162|138.00|138.00||| 1200 x 190 мм, 1.0 кг, металлический черенок|||/img/pic/strhoz/small/LEDORUB SKREBOK.jpg|/img/pic/strhoz/big/LEDORUB SKREBOK.jpg

1|Ведро оцинкованое|163|79.00|74.00||| 12&nbsp;л|||/img/pic/strhoz/small/Vedro ozink 12 l.jpg|/img/pic/strhoz/big/Vedro ozink 12 l.jpg
1|Ведро 12 л.|163|59.00|56.00||Ведра|, резинопластик|||/img/pic/strhoz/small/Vedro rezinoplastic.jpg|/img/pic/strhoz/big/Vedro rezinoplastic.jpg
0|Ведро 16 л.|163|85.00|81.00|||||
0|Ведро 20 л.|163|95.00|89.00|||||
1|Таз строительный 40 л.|163|295.00|285.00||Тазы строительные| круглые|||/img/pic/strhoz/small/Taz stroitelny.jpg|/img/pic/strhoz/big/Taz stroitelny.jpg
0|Таз строительный 65 л.|163|395.00|379.00
0|Таз строительный 90 л.|163|425.00|399.00
1|Носилки строительные|163|490.00|470.00

1|Щетка деревянная|102|59.00|55.00||| 280&nbsp;мм, для пола|||/img/pic/strhoz/small/SCHetka dla pola 280 vv.jpg|/img/pic/strhoz/big/SCHetka dla pola 280 vv.jpg
1|Щетка палубная|102|59.00|55.00||| 200&nbsp;x&nbsp;80&nbsp;мм|||/img/pic/strhoz/small/SCHETKA PALUBNAJA.jpg|/img/pic/strhoz/big/SCHETKA PALUBNAJA.jpg
1|Щетка метро-вокзал|102|110.00| 99.00||| 500&nbsp;мм|||/img/pic/strhoz/small/SCHETKA METRO-VOKZAL 500-700.jpg|/img/pic/strhoz/big/SCHETKA METRO-VOKZAL 500-700.jpg
1|Щетка метро-вокзал|102|130.00|120.00||| 700&nbsp;мм|||/img/pic/strhoz/small/SCHETKA METRO-VOKZAL 500-700.jpg|/img/pic/strhoz/big/SCHETKA METRO-VOKZAL 500-700.jpg
1|Щетка сметка|102|39.00|38.00||| 3-х рядная 320&nbsp;мм|||/img/pic/strhoz/small/Schetka smetka.jpg|/img/pic/strhoz/big/Schetka smetka.jpg

