# 32|Шпильки резьбовые оцинкованная
1| Шпильки длиной 1 метр|32|||||||subhead|Шпилька резьбовая оцинкованная| DIN 975|<abbr title="Предел прочности на растяжение: 400 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 400 МПа x 0.8 = 320 МПа.">Класс прочности 4.8</abbr><br><br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С14     |34|SH14-Z |0.0084       кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С16     |34|SH16-Z |0.0111       кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С18     |34|SH18-Z |0.014&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С20     |34|SH20-Z |0.017&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С24     |34|SH24-Z |0.031&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С27     |34|SH27-Z |0.040&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С30     |34|SH30-Z |0.050&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С36     |34|SH36-Z |0.070&#8199; кг|119,00|114,00|109,00
0|Шайба плоская ГОСТ 11371-70 / DIN 125       С42     |34|SH42-Z |0.100&#8199; кг|119,00|114,00|109,00
1|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021 С&#8199;6|34|SHU06-Z|0.0028       кг|109,00|105,00| 99,00|||Шайба увеличеннная оцинкованная| ГОСТ 6958-70 / DIN 9021|Цена за 1 кг||/img/pic/metrkr/small/SHAJBA UVELICHENAJA Zn.jpg|/img/pic/metrkr/big/SHAJBA UVELICHENAJA Zn.jpg
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021 С&#8199;8|34|SHU08-Z|0.0063       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С10|34|SHU10-Z|0.0122       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С12|34|SHU12-Z|0.0217       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С14|34|SHU14-Z|0.0316       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С16|34|SHU16-Z|0.0404       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С18|34|SHU18-Z|0.0672       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С20|34|SHU20-Z|0.0770       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С24|34|SHU24-Z|0.1390       кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С27|34|SHU27-Z|0.230&#8199; кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С30|34|SHU30-Z|0.270&#8199; кг|109,00|105,00| 99,00
0|Шайба увеличеннная ГОСТ 6958-70 / DIN 9021       С36|34|SHU36-Z|0.270&#8199; кг|109,00|105,00| 99,00
1|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980   C&#8199;6|34|SHG06-Z|0.0009       кг|135,00|129,00|122,00|||Шайба гровер оцинкованный| ГОСТ 6402-70 (DIN 127, DIN 7980)|Цена за 1 кг||/img/pic/metrkr/small/Shajba GROVER.jpg|/img/pic/metrkr/big/Shajba GROVER.jpg
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980   C&#8199;8|34|SHG08-Z|0.0016       кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C10|34|SHG10-Z|0.0024       кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C12|34|SHG12-Z|0.0037       кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C14|34|SHG14-Z|0.0060       кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C16|34|SHG16-Z|0.0090       кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C18|34|SHG18-Z|0.010&#8199; кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C20|34|SHG20-Z|0.015&#8199; кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C24|34|SHG24-Z|0.026&#8199; кг|135,00|129,00|122,00
0|Гровер ГОСТ 6402-70 / DIN 127 / DIN 7980         C30|34|SHG30-Z|0.050&#8199; кг|135,00|129,00|122,00

# 349|Анкер-дюбели рамные
1|Анкер рамный распорный (дюбель) &#8199;8 &#215; &#8199;92 мм|349||5.6 г| 2.10| 1.90| 1.80||norow|Анкер-дюбели рамные| распорные|<br>Цена за 1 шт.||/img/pic/metrkr/small/a-dub.jpg|/img/pic/metrkr/big/jpg
0|Анкер рамный распорный (дюбель) &#8199;8 &#215; &#8199;92 мм|349|AR08092|5.6 г| 4,25| 4,05| 3,95|
0|Анкер рамный распорный (дюбель) &#8199;8 &#215;       112 мм|349|AR08112|5.6 г| 4,25| 4,05| 3,95|
0|Анкер рамный распорный (дюбель) &#8199;8 &#215;       132 мм|349|AR08132|5.6 г| 5,35| 5,05| 4,95|
0|Анкер рамный распорный (дюбель) &#8199;8 &#215;       152 мм|349|AR08152|5.6 г| 5,85| 5,55| 5,35|
0|Анкер рамный распорный (дюбель)       10 &#215; &#8199;52 мм|349|AR10052|5.6 г| 3,25| 3,05| 2,95||blkt2
0|Анкер рамный распорный (дюбель)       10 &#215; &#8199;72 мм|349|AR10072|5.6 г| 3,95| 3,75| 3,55|
0|Анкер рамный распорный (дюбель)       10 &#215; &#8199;92 мм|349|AR10092|5.6 г| 4,55| 4,35| 4,15|
0|Анкер рамный распорный (дюбель)       10 &#215;       112 мм|349|AR10112|5.6 г| 5,35| 5,15| 4,95|
0|Анкер рамный распорный (дюбель)       10 &#215;       132 мм|349|AR10132|5.6 г| 6,15| 5,95| 5,85|
0|Анкер рамный распорный (дюбель)       10 &#215;       152 мм|349|AR10152|5.6 г| 6,75| 6,55| 6,35|
0|Анкер рамный распорный (дюбель)       10 &#215;       182 мм|349|AR10182|5.6 г| 6,75| 6,55| 6,35|
0|Анкер рамный распорный (дюбель)       10 &#215;       202 мм|349|AR10202|5.6 г| 7,98| 7,75| 7.55|

# 36|Анкер забивной анодированный
1|Анкер забивной анодированный М &#8199;6/&#8199;8 &#215; 25 мм|36|AZ0608-25| &#8199;5.6 г| 1,45| 1,40| 1,35|||Анкер забивной| анодированный|<br>Цена за 1 шт.||/img/pic/metrkr/small/Anker zabivnoj.jpg|/img/pic/metrkr/big/Anker zabivnoj.jpg
0|Анкер забивной анодированный М &#8199;8/10       &#215; 30 мм|36|AZ0810-30| &#8199;9.5 г| 1,98| 1,88| 1,82
0|Анкер забивной анодированный М       10/12       &#215; 40 мм|36|AZ1012-40|       18.8 г| 2,85| 2,65| 2,55
0|Анкер забивной анодированный М       12/16       &#215; 50 мм|36|AZ1216-50|       44.2 г| 6,25| 6.10| 5.85
0|Анкер забивной анодированный М       16/20       &#215; 65 мм|36|AZ1620-65|       60.0 г|16,50|16,20|15,95
#0|Анкер забивной анодированный М20 / 25&nbsp;&#215; 80      |36            |209.0 г|28.00|28.00|28.00|

# 350|Анкерный болт с гайкой
1|Анкерный болт с гайкой &#8199;8 &#215; &#8199;40 мм|350|AGB08040|0.0163 кг|  4,17|  3,97|  3,78||norow|Анкерный болт с гайкой| оцинкованный|<br>Цена за 1 шт.||/img/pic/metrkr/small/abg.jpg|/img/pic/metrkr/big/jpg
0|Анкерный болт с гайкой &#8199;8 &#215; &#8199;65 мм|350|AGB08065|0.0323 кг| 2,85| 2,65| 2,45|
0|Анкерный болт с гайкой &#8199;8 &#215; &#8199;85 мм|350|AGB08085|0.0323 кг| 3,55| 3,35| 3,25|
0|Анкерный болт с гайкой &#8199;8 &#215;       100 мм|350|AGB08100|0.0323 кг| 4,25| 4,10| 3,98|
0|Анкерный болт с гайкой &#8199;8 &#215;       120 мм|350|AGB08120|0.0323 кг| 5,25| 5,05| 4,85|
0|Анкерный болт с гайкой       10 &#215; &#8199;60 мм|350|AGB10060|0.0323 кг| 4,45| 4,25| 4,10||blkt2
0|Анкерный болт с гайкой       10 &#215; &#8199;77 мм|350|AGB10077|0.0323 кг| 5,45| 5,25| 5,05|
0|Анкерный болт с гайкой       10 &#215; &#8199;97 мм|350|AGB10097|0.0541 кг| 5,98| 5,65| 5,45|
0|Анкерный болт с гайкой       10 &#215;       120 мм|350|AGB10120|0.2050 кг| 7,65| 7,35| 7,15|
0|Анкерный болт с гайкой       10 &#215;       125 мм|350|AGB10125|0.2050 кг| 7,65| 7,35| 7,15|
0|Анкерный болт с гайкой       10 &#215;       150 мм|350|AGB10150|0.2050 кг| 9,55| 9,25| 9,10|
