1| х  1000 мм|32||||subhead|Шпилька резьбовая оцинкованная| DIN 975|Цена за 1 шт.||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
0|Шпилька DIN 975 М&nbsp;&nbsp;6 х 1000 мм|32|0.180 кг|13.00 |11.50
0|Шпилька DIN 975 М&nbsp;&nbsp;8 х 1000 мм|32|0.317 кг|18.00 |16.50
0|Шпилька DIN 975 М10 х 1000 мм           |32|0.500 кг|29.00 |27.00
0|Шпилька DIN 975 М12 х 1000 мм           |32|0.721 кг|39.50 |37.50
0|Шпилька DIN 975 М14 х 1000 мм           |32|1.023 кг|59.00 |55.00
0|Шпилька DIN 975 М16 х 1000 мм           |32|1.325 кг|76.00 |71.00
0|Шпилька DIN 975 М18 х 1000 мм           |32|1.660 кг|129.00|110.00
0|Шпилька DIN 975 М20 х 1000 мм           |32|2.075 кг|156.00|144.00
0|Шпилька DIN 975 М24 х 1000 мм           |32|2.981 кг|199.00|188.00
0| х  2000 мм|32||||subhead
0|Шпилька DIN 975 М&nbsp;&nbsp;6 х 2000 мм|32|0.360 кг|26.00 |23.00
0|Шпилька DIN 975 М&nbsp;&nbsp;8 х 2000 мм|32|0.634 кг|36.00 |33.00
0|Шпилька DIN 975 М10 х 2000 мм           |32|1.000 кг|58.00 |54.00
0|Шпилька DIN 975 М12 х 2000 мм           |32|1.442 кг|79.00 |75.00
0|Шпилька DIN 975 М14 х 2000 мм           |32|2.046 кг|118.00|110.00
0|Шпилька DIN 975 М16 х 2000 мм           |32|2.650 кг|152.00|142.00
0|Шпилька DIN 975 М18 х 2000 мм           |32|3.320 кг|258.00|220.00
0|Шпилька DIN 975 М20 х 2000 мм           |32|4.150 кг|312.00|288.00
0|Шпилька DIN 975 М24 х 2000 мм           |32|5.962 кг|398.00|376.00

1|Гайка ГОСТ 5915-70 М&nbsp;&nbsp;6|33 |0.0026 кг|109.00|99.00  ||Гайка оцинкованная| ГОСТ 5915-70|Цена за 1 кг||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/Gajka Zn.jpg
0|Гайка ГОСТ 5915-70 М&nbsp;&nbsp;8|33 |0.0055 кг|108.00|98.00
0|Гайка ГОСТ 5915-70 М10|33            |0.0103 кг|108.00|98.00
0|Гайка ГОСТ 5915-70 М12|33            |0.0157 кг|108.00|98.00
0|Гайка ГОСТ 5915-70 М14|33            |0.0225 кг|108.00|98.00
0|Гайка ГОСТ 5915-70 М16|33            |0.0254 кг|107.00|97.00
0|Гайка ГОСТ 5915-70 М18|33            |0.0442 кг|107.00|97.00
0|Гайка ГОСТ 5915-70 М20|33            |0.0540 кг|107.00|97.00
