## 62+71+14+18+45 диам. + длины + 3ц
# 548|Болт оцинкованный DIN 933, шестигранная головка, полная резьба
 1|М6 |548||М6 |||||norow mult9|Болт оцинкованный| DIN 933, шестигранная головка, полная резьба|<abbr title="Предел прочности на растяжение: 500 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 500 МПа x 0.8 = 400 МПа.">Класс прочности 5.8</abbr>.<br><br><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/Bolt Zn Polnaja rezba.jpg|/img/pic/metrkr/big/Bolt Zn Polnaja rezba.jpg
 0|М6 |548||М6 |||||subhead
 0|Болт 10&times;120 DIN 933, оцинкованный, полная резьба|548||10&times;120|154,85|146,53|138,35
 0|Болт 10&times;130 DIN 933, оцинкованный, полная резьба|548||10&times;130|154,85|146,53|138,35
 0|Болт 10&times;190 DIN 933, оцинкованный, полная резьба|548||10&times;190|154,85|146,53|138,35
 1|М12|548||М12|||||mult9 next subhead
 0|Болт 12&times; 20 DIN 933, оцинкованный, полная резьба|548||12&times; 20|154,85|146,53|138,35
 0|Болт 12&times; 25 DIN 933, оцинкованный, полная резьба|548||12&times; 25|154,85|146,53|138,35
 0|Болт 12&times; 30 DIN 933, оцинкованный, полная резьба|548||12&times; 30|154,85|146,53|138,35
 0|Болт 12&times; 35 DIN 933, оцинкованный, полная резьба|548||12&times; 35|154,85|146,53|138,35
 0|Болт 12&times; 40 DIN 933, оцинкованный, полная резьба|548||12&times; 40|154,85|146,53|138,35
 0|Болт 12&times; 45 DIN 933, оцинкованный, полная резьба|548||12&times; 45|154,85|146,53|138,35
 0|Болт 12&times; 50 DIN 933, оцинкованный, полная резьба|548||12&times; 50|154,85|146,53|138,35
 0|Болт 12&times; 55 DIN 933, оцинкованный, полная резьба|548||12&times; 55|154,85|146,53|138,35
 0|Болт 12&times; 60 DIN 933, оцинкованный, полная резьба|548||12&times; 60|154,85|146,53|138,35
 0|Болт 12&times; 70 DIN 933, оцинкованный, полная резьба|548||12&times; 70|154,85|146,53|138,35
 0|Болт 12&times; 80 DIN 933, оцинкованный, полная резьба|548||12&times; 80|154,85|146,53|138,35
 0|Болт 12&times; 90 DIN 933, оцинкованный, полная резьба|548||12&times; 90|154,85|146,53|138,35
 0|Болт 12&times;100 DIN 933, оцинкованный, полная резьба|548||12&times;100|154,85|146,53|138,35
 0|Болт 12&times;110 DIN 933, оцинкованный, полная резьба|548||12&times;110|154,85|146,53|138,35
 0|Болт 12&times;120 DIN 933, оцинкованный, полная резьба|548||12&times;120|154,85|146,53|138,35
 0|Болт 12&times;140 DIN 933, оцинкованный, полная резьба|548||12&times;140|154,85|146,53|138,35
 0|Болт 12&times;150 DIN 933, оцинкованный, полная резьба|548||12&times;150|154,85|146,53|138,35
 0|Болт 12&times;160 DIN 933, оцинкованный, полная резьба|548||12&times;160|154,85|146,53|138,35
 0|Болт 12&times;180 DIN 933, оцинкованный, полная резьба|548||12&times;180|154,85|146,53|138,35
 1|М14|548||М14|||||mult9 next subhead
 0|Болт 14&times; 30 DIN 933, оцинкованный, полная резьба|548||14&times; 30|154,85|146,53|138,35
 0|Болт 14&times; 35 DIN 933, оцинкованный, полная резьба|548||14&times; 35|154,85|146,53|138,35
 0|Болт 14&times; 40 DIN 933, оцинкованный, полная резьба|548||14&times; 40|154,85|146,53|138,35
 0|Болт 14&times; 50 DIN 933, оцинкованный, полная резьба|548||14&times; 50|154,85|146,53|138,35
 0|Болт 14&times; 60 DIN 933, оцинкованный, полная резьба|548||14&times; 60|154,85|146,53|138,35
 0|Болт 14&times; 70 DIN 933, оцинкованный, полная резьба|548||14&times; 70|154,85|146,53|138,35
 0|Болт 14&times; 80 DIN 933, оцинкованный, полная резьба|548||14&times; 80|154,85|146,53|138,35
 0|Болт 14&times; 90 DIN 933, оцинкованный, полная резьба|548||14&times; 90|154,85|146,53|138,35
 0|Болт 14&times;100 DIN 933, оцинкованный, полная резьба|548||14&times;100|154,85|146,53|138,35
 0|Болт 14&times;120 DIN 933, оцинкованный, полная резьба|548||14&times;120|154,85|146,53|138,35
 0|Болт 14&times;140 DIN 933, оцинкованный, полная резьба|548||14&times;140|154,85|146,53|138,35
 1|М16|548||М16|||||mult9 next subhead
 0|Болт 16&times; 40 DIN 933, оцинкованный, полная резьба|548||16&times; 40|154,85|146,53|138,35
 0|Болт 16&times; 45 DIN 933, оцинкованный, полная резьба|548||16&times; 45|154,85|146,53|138,35
 0|Болт 16&times; 50 DIN 933, оцинкованный, полная резьба|548||16&times; 50|154,85|146,53|138,35
 0|Болт 16&times; 60 DIN 933, оцинкованный, полная резьба|548||16&times; 60|154,85|146,53|138,35
 0|Болт 16&times; 65 DIN 933, оцинкованный, полная резьба|548||16&times; 65|154,85|146,53|138,35
 0|Болт 16&times; 70 DIN 933, оцинкованный, полная резьба|548||16&times; 70|154,85|146,53|138,35
 0|Болт 16&times; 75 DIN 933, оцинкованный, полная резьба|548||16&times; 75|154,85|146,53|138,35
 0|Болт 16&times; 80 DIN 933, оцинкованный, полная резьба|548||16&times; 80|154,85|146,53|138,35
 0|Болт 16&times; 90 DIN 933, оцинкованный, полная резьба|548||16&times; 90|154,85|146,53|138,35
 0|Болт 16&times;100 DIN 933, оцинкованный, полная резьба|548||16&times;100|154,85|146,53|138,35
 0|Болт 16&times;110 DIN 933, оцинкованный, полная резьба|548||16&times;110|154,85|146,53|138,35
