## 14|√возди строительные
1|√воздь строительный √ќ—“ 4028-80 2.0 х 40 мм, уп. 5 кг|14|5|кг|G05040 |6800|77,50|65,37|64,93||norow|√возди строительные| √ќ—“ 4028-80|ќтпускаютс€ упаковками от 5 до 25 кг.<br><br><b>÷ена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|√воздь финишный оцинкованный 2.0 х 60 мм; уп. 5 кг         |15||   |-|-|-|
#1|√воздь ершеный оцинкованный 2.5 х 50 мм; уп. 5 кг          |15||480|-|-|-||√возди ершеные| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/ersh2.jpg|/img/pic/krep/big/jpg
#0|√воздь ершеный оцинкованный 2.8 х 60 мм; уп. 5 кг          |15||320|-|-|-|
#0|√воздь ершеный оцинкованный 3.1 х 70 мм; уп. 5 кг          |15||230|-|-|-|
#0|√воздь ершеный оцинкованный 3.1 х 80 мм; уп. 5 кг          |15||200|-|-|-|
#0|√воздь ершеный оцинкованный 3.4 х 90 мм; уп. 5 кг          |15||150|-|-|-|
#1|√воздь винтовой оцинкованный 3.4 х 70 мм; уп. 5 кг         |15||200|-|-|-||√возди винтовые| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/vint1.jpg|/img/pic/krep/big/jpg
#0|√воздь винтовой оцинкованный 3.4 х 90 мм; уп. 5 кг         |15||160|-|-|-|

# 3|ƒюбель-гвозди
1|ƒюбель-гвоздь оцинкованный 3.7 х 30 мм|3|180|183,75|162,75|157,50|||ƒюбель-гвозди оцинкованные дл€ монтажного пистолета|</span><span class="for">ƒл€ креплени€ к бетонным, кирпичным поверхност€м|”паковка 10, 20 и 25 кг.<br>÷ена  за 1 кг.||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
0|ƒюбель-гвоздь оцинкованный 4.5 х 30 мм|3|180|183,75|162,75|157,50
0|ƒюбель-гвоздь оцинкованный 4.5 х 40 мм|3|150|183,75|160,65|156,45
0|ƒюбель-гвоздь оцинкованный 4.5 х 50 мм|3|125|183,75|160,65|156,45
0|ƒюбель-гвоздь оцинкованный 4.5 х 60 мм|3|110|183,75|160,65|156,45

#1|ƒюбель-гвоздь оцинкованный 3.7 х 30 мм; уп.        25 кг       |3|DG3730-|180|139|129| |ƒюбель-гвозди оцинкованные дл€ монтажного пистолета|. ƒл€ креплени€ к бетонным, кирпичным повер х ност€м|÷ена  за 1 кг.||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
#0|ƒюбель-гвоздь оцинкованный 4.5 х 30 мм; уп. 10 кг, 25 кг       |3|DG4530-|180|139|129
#0|ƒюбель-гвоздь оцинкованный 4.5 х 40 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4540-|150|129|122
#0|ƒюбель-гвоздь оцинкованный 4.5 х 50 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4550-|125|129|122
#0|ƒюбель-гвоздь оцинкованный 4.5 х 60 мм; уп. 10 кг, 20 кг, 25 кг|3|DG4560-|110|129|122

