## 14|Гвозди строительные
#1|Гвоздь строительный DIN 1151 7,6 х 250 мм; уп. 5, 10, 15 кг  |14||    |75,00|73,00|68,00|| |Гвозди строительные| DIN 1151|Цена за 1 кг.||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный DIN 1151 7,6 х 260 мм; уп. 5           кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,0 х 250 мм; уп. 5 кг, 10    кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,0 х 300 мм; уп. 5           кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный DIN 1151 8,8 х 300 мм; уп. 5 кг, 20    кг|14||    |75,00|73,00|68,00|
#0|Гвоздь строительный ГОСТ 4028-80 6.0х200мм в упаковках 5, 10, 25 кг|14||  23|44,00|42,00|40,00||red

# Когда у тебя в руках молоток, все проблемы начинают выглядеть, как гвозди

#0|Гвоздь строительный ГОСТ 4028-80 7.6 х 250мм; уп. 5 кг, 10 кг |14|  11||57.50|57.50|57.50
#0|Гвоздь строительный ГОСТ 4028-80 8.8 х 300мм; уп. 5 кг, 10 кг |14|   7||57.50|57.50|57.50

#1|Гвоздь шиферный оцинкованный 5.0 х 120 мм; уп. 15 кг, 20 кг|15||080|-|-|-||Гвозди шиферные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/shif.jpg|/img/pic/krep/big/jpg
#0|Гвоздь шиферный оцинкованный 5.0 х 150 мм; уп. 15 кг, 20 кг|15||065|-|-|-|
#1|Гвоздь финишный оцинкованный 1.6 х 30 мм; уп. 5 кг         |15||   |-|-|-||Гвозди финишные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/finish.jpg|/img/pic/krep/big/jpg
#0|Гвоздь финишный оцинкованный 1.8 х 40 мм; уп. 5 кг         |15||   |-|-|-|
#0|Гвоздь финишный оцинкованный 2.0 х 50 мм; уп. 5 кг         |15||   |-|-|-|
#0|Гвоздь финишный оцинкованный 2.0 х 60 мм; уп. 5 кг         |15||   |-|-|-|
#1|Гвоздь ершеный оцинкованный 2.5 х 50 мм; уп. 5 кг          |15||480|-|-|-||Гвозди ершеные| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/ersh2.jpg|/img/pic/krep/big/jpg
#0|Гвоздь ершеный оцинкованный 2.8 х 60 мм; уп. 5 кг          |15||320|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.1 х 70 мм; уп. 5 кг          |15||230|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.1 х 80 мм; уп. 5 кг          |15||200|-|-|-|
#0|Гвоздь ершеный оцинкованный 3.4 х 90 мм; уп. 5 кг          |15||150|-|-|-|
#1|Гвоздь винтовой оцинкованный 3.4 х 70 мм; уп. 5 кг         |15||200|-|-|-||Гвозди винтовые| оцинкованные|Цена за 1 кг.||/img/pic/krep/small/vint1.jpg|/img/pic/krep/big/jpg
#0|Гвоздь винтовой оцинкованный 3.4 х 90 мм; уп. 5 кг         |15||160|-|-|-|

# 3|Дюбель-гвозди
