# 86|Перчатки ХБ с ПВХ и латексным покрытием
#1|Перчатки Х/Б с нанесением ПВХ                      |86|3       |10,90| 9,90| 9,50|  ||| Эконом (3 нитки) <span class=art>арт. 3</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
 1|Краги спилк. РУССКИЕ ЛЬВЫ утепленные      |89|KRL.W   |325|315|298|90|norow|Краги сварщика спилковые| РУССКИЕ ЛЬВЫ усиленные <strong>утепленные</strong> <span class=art>арт. KRL.W</span>|</span></p><UL><LI>Спилок буйвола 1.5 мм обладает высокой устойчивостью к истиранию, порезам и высоким температурам.<LI>Рабочая поверхность перчаток имеет специальную накладку для дополнительной прочности.<LI>Прошито особо прочной негорючей кевларовой ниткой.<LI>Специальный утепляющий слой позволяет долго работать на холоде, а также с грубыми абразивными поверхностями.<LI>Внутренняя подкладка выполнена из приятного на ощупь материала.<LI>Краги имеют утеплитель из искусственного меха.</UL><p><span class="addt">||/img/pic/defence/small/crlions-w.jpg|/img/pic/defence/big/crlions-w.jpg
 0|Краги спилк. РУССКИЕ ЛЬВЫ усил. утепленные|89|KRL.W   |325|315|298|90|
 1|Краги «Трек» на подкладке, утепленные     |89|RT.W    |325|310|298|90|norow|Краги сварщика спилковые| ТРЕК, на подкладке, <strong>утепленные</strong> <span class=art>арт. RT.W</span>|</span></p><UL><LI>Изготовлены из натурального телячьего спилка, обладают повышенной износостойкостью и прочностью.<LI>Пригодны для проведении сварки и других видов операций на опасных производствах, включая работы на открытых площадках в экстремально холодных условиях.<LI>Прочный материал с термоизолирующим слоем защищает от механических, термических и химических повреждений.<LI>Подкладка из искусственного меха служит защитой от низких температур.<LI>Укреплённые лавсановой нитью швы и вставки повышают срок эксплуатации.</UL><p><span class="addt">||/img/pic/defence/small/trackw.gif|/img/pic/defence/big/trackw.gif
 0|Краги «Трек» на подкладке  утепленные     |89|RT.W    |325|310|298|90|
 1|Краги спилковые «Blue Welder» на подкладке|89|        |375|  -|  -|90|norow|Краги сварщика спилковые| «Blue Welder» на подкладке|</span></p><UL><LI>Краги спилковые на подкладке, длина 350-360мм, <abbr title="Кевлар &mdash; высокопрочное синтетическое волокно, специально разработанное для армирования. Придает тканям стойкость по отношению к абразивным и режущим воздействиям. Выдерживает температуру 430&deg;C и выше.">кевларовая</abbr> нить.<LI>Спилок КРС однородный, 1,2&PlusMinus;0,1 мм, швы усилены.<LI>Краги обеспечивают высокую механическую защиту, защиту от повышенных температур — открытого пламени, искр и брызг расплавленного металла.<LI>Наличие подкладки позволяет использовать краги в зимнее время. Краги в утепленном варианте утеплены дополнительно.</UL><p><span class="addt">||/img/pic/defence/small/BlueWelder.jpg|/img/pic/defence/big/BlueWelder.jpg
 0|Краги спилковые «Blue Welder» на подкладке|89|BW.1    |375|355|345|90
 0|Краги спилковые «Blue Welder» утепленные  |89|BW.2    |465|449|438|90
#1|Краги спилковые «Трек» UNIV, красные      |89|RED-U   |288|278|269||norow|Краги сварщика спилковые| «Трек» UNIV, на подкладке, красные <span class=art>арт. RED-U</span>|</span></p><UL><LI>Кожевенный спилок, прочный и способный выносить высокие температуры.<LI>Специальный термоизолирующий слой дополнительно снижает риск возникновения термических ожогов.<LI>Длинный защитный рукав.<LI>Краги «Трек» имеют высокую степень устойчивости к механическим повреждениям и порезам, что обеспечивает длительный срок их эксплуатации.</UL><p><span class="addt">||/img/pic/defence/small/KRAGI TREK.jpg|/img/pic/defence/big/KRAGI TREK.jpg
#0|Краги спилковые «Трек» UNIV, красные      |89|RED-U   |288|278|269||
#1|Краги сварщика спилковые|89|205350     |315|300|290||||, 35 см, на подкладке (хлопок) <span class=art>арт. 205350</span>|</span></p><UL><LI>Защита от искр, брызг раскаленного металла, высоких температур<LI>Механически стойкие</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 20535.jpg|/img/pic/defence/big/NITRAS 20535.jpg
#1|Краги спилковые СТАНДАРТ серые       |89|KRS        |198|192|188|||Краги сварщика спилковые| СТАНДАРТ серые <span class=art>арт. KRS</span>|Краги сварщика из говяжьего спилка. Выдерживают тепловые нагрузки и защищают руки от искр.||/img/pic/defence/small/sol204350.jpg|/img/pic/defence/big/sol204350.jpg
#1|Краги сварщика спилковые|89|KR-STANDART|265|255|250|||| СТАНДАРТ серые <span class=art>арт. 204350</span> <small> или </small> <span class=art>арт. KR-STANDART</span>|Краги сварщика из говяжьего спилка. Выдерживают тепловые нагрузки и защищают руки от искр.||/img/pic/defence/small/sol204350.jpg|/img/pic/defence/big/sol204350.jpg
#1|Краги сварщика спилковые|89|20435W     |290|280|270|90||| теплые пятипалые, 35 см <span class=art>арт. 20435W</span>|</span></p><UL><LI>Утепленные мехом в качестве подкладки.<LI>Эффективно защищают работника от искр и окалины.<LI>Защитные свойства согласно стандартам Евросоюза и ГОСТ: EN&nbsp;388&nbsp;-&nbsp;4243, EN&nbsp;12477&nbsp;-&nbsp;313X4X, EN&nbsp;511&nbsp;-&nbsp;11X.</UL><p><span class="addt">||/img/pic/defence/small/sol20435W.jpg|/img/pic/defence/big/sol20435W.jpg
#1|Краги сварщика спилковые|89|204350|198|188|182|||| СТАНДАРТ серые <span class=art>арт. 204350</span> <small> или </small> <span class=art>арт. KR-STANDART</span>|Краги сварщика из говяжьего спилка. Выдерживают тепловые нагрузки и защищают руки от искр.||/img/pic/defence/small/sol204350.jpg|/img/pic/defence/big/sol204350.jpg
#1|Краги сварщика|89|RED/BLUE-TREK|168|164|162||| ТРЕК, на подкладке:<br>красные <span class=art>арт. RED-TREK</span><br>голубые <span class=art>арт. BLUE-TREK</span>|||/img/pic/defence/small/KRAGI TREK.jpg|/img/pic/defence/big/KRAGI TREK.jpg
#1|Краги сварщика|89|BLACK-TREK|155|148|145||| ТРЕК ЛЮКС, на подкладке <span class=art>арт. BLACK-TREK</span>|На рабочей поверхности имеется плотная вставка для обеспечения более эффективной защиты рук в местах повышенной нагрузки.||/img/pic/defence/small/KRAGI_TREK_LUX.jpg|/img/pic/defence/big/jpg
#1|Краги сварщика спилковые с подкладкой|89||179,00|169|169||| высшей категории PLASMA фирмы Elementa <span class=art>арт. KR-PLASMA-</span>|||/img/pic/defence/small/Kragi Plasma.jpg|/img/pic/defence/big/Kragi Plasma.jpg
#1|Краги сварщика спилковые|89|205350|135|129|118||| с подкладкой серые SOL <span class=art>арт. 205350</span>|||/img/pic/defence/small/jpg|/img/pic/defence/big/jpg
#1|Краги сварщика спилковые|89|KR-STANDART|145|138|133||| СТАНДАРТ серые <span class=art>арт. KR-STANDART</span>|||/img/pic/defence/small/kr-sp-std.jpg|/img/pic/defence/big/jpg

# 383|Перчатки спилковые
 1|Перчатки спилковые комбинированные                   |383|ANGARA-001 | 99| 97| 95|  |norow|| "АНГАРА" СТАНДАРТ <span class=art>арт. ANGARA-001</span>|||/img/pic/defence/small/PERCHATKI Spilkovy STANDART.jpg|/img/pic/defence/big/PERCHATKI Spilkovy STANDART.jpg
 0|Перчатки спилковые комбинированные "АНГАРА" СТАНДАРТ |383|ANGARA-001 | 99| 97| 95|  |
 1|Перчатки спилковые комбинированные                   |383|ANGARA-W01 |245|235|225|90|norow|| "АНГАРА" СТАНДАРТ <strong>утепленные</strong> <span class=art>арт. ANGARA-W01</span>|||/img/pic/defence/small/PERCHATKI Spilkovy STANDART.jpg|/img/pic/defence/big/PERCHATKI Spilkovy STANDART.jpg
 0|Перчатки спилковые комб. "АНГАРА" СТАНДАРТ утепленные|383|ANGARA-W01 |245|235|225|90|
 1|Перчатки спилковые комбинированные усиленные         |383|DK1        |148|144|139|  |norow|| "Докер" <span class=art>арт. DK1</span>|</span></p><UL><LI>Рабочие перчатки из кожевенного спилка 1,2-1,4мм, с подкладкой из 100% хлопка, на краге.<LI>Вся ладонь, указательный и большой палец перчаток усилены дополнительной спилковой накладкой. Помимо этого рабочая часть ладони усиленна плотным, грубым материалом.<LI>Манжета перчатки выполнена в виде краги из плотной ткани.<LI>Износостойкие и прочные, по своим эксплуатационным качествам они превосходят брезентовые аналоги в три раза.<LI>Перчатки «Докер» незаменимы там, где нужно качественное и быстрое сцепление с поверхностью предмета.</UL><p><span class="addt">||/img/pic/defence/small/dk1.jpg|/img/pic/defence/big/jpg
 0|Перчатки спилковые комбинированные усиленные "Докер" |383|DK1        |148|144|139|  |
#1|Перчатки спилковые комбинированные СТАНДАРТ (SOL)    |383|13010/13020|135|128|125|  ||Перчатки спилковые комбинированные| СТАНДАРТ (SOL) <span class=art>арт. 13010/13020</span>|Рабочие перчатки из говяжьего спилка на краге.||/img/pic/defence/small/sol13010.jpg|/img/pic/defence/big/sol13010.jpg
#1|Перчатки спилковые комбинированные                   |383|1301W      |235|220|210|90||| NITRAS&nbsp;1301&nbsp;W <span class=art>арт. 1301W</span>|</span></p><UL><LI>Утепленные искусственным мехом</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg|/img/pic/defence/big/NITRAS 1301 W - PERCHATKI SPILK - ZIMA.jpg
#1|Перчатки спилковые комбинированные                   |383|1302WI     |235|220|210|90||| NITRAS&nbsp;1302&nbsp;WI <span class=art>арт. 1302WI</span>|</span></p><UL><LI>Утепленные искусственным мехом<LI>Защита от механических повреждений</UL><p><span class="addt">||/img/pic/defence/small/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg|/img/pic/defence/big/NITRAS 1302 WI - PERCHATKI - ZIMA.jpg
#0|Спилковые комбинир. перчатки "Optima" фирмы Elementa, жесткая крага|383|EO-001-120|66|62

# 87|Перчатки с нитриловым покрытием
