## 14,cat14|Гвозди строительные 51+41+14+18 К-во в 1 кг + 3ц A Е
#1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
 1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/gvozdi_stroitelnye.jpg|/img/pic/krep/big/gvozdi_stroitelnye.jpg
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 70 мм, уп. 5 кг|14|5|кг|G05070 | 270| 70.00| 68.00| 66.50||
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 80 мм, уп. 5 кг|14|5|кг|G05080 | 230| 70.00| 68.00| 66.50||
#0|Гвоздь строительный ГОСТ 4028-80 3.5 х 90 мм, уп. 5 кг|14|5|кг|G05090 | 150| 68.00| 66.00| 64.00|
#0|Гвоздь строительный ГОСТ 4028-80 4.0х100  мм, уп. 5 кг|14|5|кг|G05100 | 105| 65.00| 61.90| 59.90||red
#0|Гвоздь строительный ГОСТ 4028-80 4.0х120  мм, уп. 5 кг|14|5|кг|G05120 |  86| 65.00| 61.90| 59.90||red
#0|Гвоздь строительный ГОСТ 4028-80 5.0х150  мм, уп. 5 кг|14|5|кг|G05150 |  45| 65.00| 61.90| 59.90||red
#0|Гвоздь строительный ГОСТ 4028-80 6.0х200  мм, уп. 5 кг|14|5|кг|G05200 |  23| 65.00| 61.90| 59.90||red
#1|Гвоздь строительный DIN 1151 7,6 х 250 мм, уп. 5 кг   |14|5|кг|G05250 |    | 96.00| 89.00| 87.00||norow|Гвозди строительные| DIN 1151|Отпускаются упаковками от 5 до 20 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный DIN 1151 7,6 х 250 мм, уп. 5 кг   |14|5|кг|G05250 |    | 96.00| 89.00| 87.00|
#0|Гвоздь строительный DIN 1151 8,0 х 250 мм, уп. 5 кг   |14|5|кг|G05250a|    | 96.00| 89.00| 87.00|
#0|Гвоздь строительный DIN 1151 7,6 х 260 мм, уп. 5 кг   |14|5|кг|G05260 |    | 96.00| 89.00| 87.00||blkt2
#0|Гвоздь строительный DIN 1151 8,0 х 300 мм, уп. 5 кг   |14|5|кг|G05300 |    | 96.00| 89.00| 87.00||blkt2
#0|Гвоздь строительный DIN 1151 8,8 х 300 мм, уп. 5 кг   |14|5|кг|G05300a|    | 96.00| 89.00| 87.00|
