## 229,cat229|ƒюбели распорные с шипами ("Єж")
1|ƒюбели распорные с шипами ("Єж")  6 х 25   |229|1|тыс. шт.|      |-|-|-||norow|ƒюбели распорные с шипами| (&laquo;Єж&raquo;)|<br><b>÷ена за 1000 шт.</b>||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
0|ƒюбели распорные с шипами ("Єж")  6 х 25 мм|229|1|тыс. шт.|06025-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  6 х 40 мм|229|1|тыс. шт.|06040-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  6 х 60 мм|229|1|тыс. шт.|06060-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  8 х 40 мм|229|1|тыс. шт.|08040-|-|-|-||blkt2
0|ƒюбели распорные с шипами ("Єж")  8 х 60 мм|229|1|тыс. шт.|08060-|-|-|-
0|ƒюбели распорные с шипами ("Єж")  8 х 80 мм|229|1|тыс. шт.|08080-|-|-|-
0|ƒюбели распорные с шипами ("Єж") 10х100  мм|229|1|тыс. шт.|10100-|-|-|-||blkt2

# 20,cat20|ƒюбели с шурупом дл€ быстрого монтажа
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 80 мм|20|G08080-100 | 100| 248,00| 240,00| 704,37|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 80 мм|20|G08080-500 | 500|1240,00|1200,00|2291,33|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-050 | 050| 194,00| 188,00| 184,00||blkt2
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-100 | 100| 388,00| 376,00| 368,00||blkt2
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-500 | 500|1940,00|1880,00|1840,00|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-050 | 050| 240,00| 230,00| 225,00||blkt2
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-100 | 100| 480,00| 460,00| 450,00|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-500 | 500|2400,00|2300,00|2250,00|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-025 | 025| 140,00| 135,00| 130,00||blkt2
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-050 | 050| 280,00| 270,00| 260,00|
