# 444,cat444|Саморезы кровельные
0|Саморез мелкий-частый шаг  4.2 х &numsp;76 мм|18|||SM.76  | 210|235,00|209,00|-
0|Саморез мелкий-частый шаг  4.8 х &numsp;90 мм|18|||SM.90  | 170|235,00|209,00|-||blkt2
0|Саморез мелкий-частый шаг  4.8 х       102 мм|18|||SM.102 | 120|235,00|209,00|-
0|Саморез мелкий-частый шаг  4.8 х       127 мм|18|||SM.127 | 100|235,00|209,00|-
0|Саморез мелкий-частый шаг  4.8 х       152 мм|18|||SM.152 |  80|235,00|209,00|-

## 19,cat19|Саморезы для крепления листового металла |наконечник - острие|наконечник - сверло|"Клоп"
#1|Саморез с наконечником острие 4.2х13 мм|19|SO-13-01-000|1.40 кг|119|109||Саморезы для крепления листового металла|<br> с прессшайбой (полусфера), оцинкованные,<br>наконечник - острие|Цена за <b>1 кг</b>. &nbsp;&nbsp;&nbsp;Количество в 1 кг указано <strong>справочно</strong>.||/img/pic/krep/small/SAMOREZY OSTRIE.jpg|/img/pic/krep/big/SAMOREZY OSTRIE.jpg
#1|Саморезы для крепления листового металла         |19|||SO.13    |   |  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br> наконечник - острие|Цена за <b>1 кг</b>.||/img/pic/krep/small/SAMOREZY OSTRIE.jpg|/img/pic/krep/big/SAMOREZY OSTRIE.jpg
 1|Саморезы для крепления листового металла         |19|||SO.13    |   |  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br> наконечник - острие|Цена за <b>1 кг</b>.<br>В таблице справочно указано приблизительное количество изделий в 1 кг.||/img/pic/krep/small/samorez_ostrie.jpg|/img/pic/krep/big/samorez_ostrie.jpg
 0|Саморез с наконечником острие 4.2 х 13 мм        |19|||PS.0.013 |633|309|235|-
#0|Саморез с наконечником острие 4.2 х 14 мм        |19|||SO.14    |   |  -|  -|-
 0|Саморез с наконечником острие 4.2 х 16 мм        |19|||PS.0.016 |553|309|235|-
 0|Саморез с наконечником острие 4.2 х 19 мм        |19|||PS.0.019 |500|309|235|-
 0|Саморез с наконечником острие 4.2 х 25 мм        |19|||PS.0.025 |424|309|235|-
 0|Саморез с наконечником острие 4.2 х 32 мм        |19|||PS.0.032 |360|309|235|-
 0|Саморез с наконечником острие 4.2 х 38 мм        |19|||PS.0.038 |336|309|235|-
 0|Саморез с наконечником острие 4.2 х 41 мм        |19|||PS.0.041 |324|309|235|-
 0|Саморез с наконечником острие 4.2 х 51 мм        |19|||PS.0.051 |261|309|235|-
 0|Саморез с наконечником острие 4.2 х 57 мм        |19|||PS.0.057 |230|309|235|-
 0|Саморез с наконечником острие 4.2 х 75 мм        |19|||PS.0.075 |180|309|235|-
#1|Саморезы для крепления листового металла         |19|||SS.13    |   |  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br>наконечник - сверло|Цена за <b>1 кг</b>.||/img/pic/krep/small/SAMOREZY SVERLO.jpg|/img/pic/krep/big/SAMOREZY SVERLO.jpg
 1|Саморезы для крепления листового металла         |19|||SS.13    |   |  -|  -|-||norow||<br> с прессшайбой (полусфера), оцинкованные,<br>наконечник - сверло|Цена за <b>1 кг</b>.<br>В таблице справочно указано приблизительное количество изделий в 1 кг.||/img/pic/krep/small/samorez_sverlo.jpg|/img/pic/krep/big/samorez_sverlo.jpg
 0|Саморез с наконечником сверло 4.2 х 13 мм        |19|||PS.S.013 |595|325|245|-
#0|Саморез с наконечником сверло 4.2 х 14 мм        |19|||SS.14    |   |295|275|-
 0|Саморез с наконечником сверло 4.2 х 16 мм        |19|||PS.S.016 |543|325|245|-
