# 241|Абразивная сетка
 1|Абразивная сетка P&numsp;   K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.06| 63,95| 62,45| 59,95||norow|Абразивная сетка| K&Uuml;SSNER, <strong>очень высокое, европейское качество</strong>|</span></p><UL><LI>В листах 115&thinsp;&times;&thinsp;280&thinsp;мм.</UL><p><span class="addt"><br><b>Цена за упаковку 5 шт.</b>||/img/pic/abraz/small/abrs1010-12n.jpg|/img/pic/abraz/big/abrs1010-12n.jpg
 1|Абразивная сетка P&numsp;40 MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75164        |335,00|335,00|335,00||sale1 norow|Абразивная сетка| MATRIX|В упаковках по 25 штук.<br><br>Цена за 1 упаковку.||/img/pic/abraz/small/Setka Abrazivnaja.jpg|/img/pic/abraz/big/Setka Abrazivnaja.jpg
 0|Абразивная сетка P&numsp;40 MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75164        |335,00|335,00|335,00
 0|Абразивная сетка P&numsp;60 MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75166        |335,00|335,00|335,00|
#0|Абразивная сетка P&numsp;80 MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75168        |335,00|335,00|335,00|
 0|Абразивная сетка P100       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75170        |335,00|335,00|335,00|
 0|Абразивная сетка P120       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75172        |335,00|335,00|335,00|
#0|Абразивная сетка P150       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75174        |335,00|335,00|335,00|
 0|Абразивная сетка P180       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75176        |335,00|335,00|335,00|
#0|Абразивная сетка P240       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75182        |225,00|225,00|225,00|
 0|Абразивная сетка P400       MATRIX, уп. 25 шт.     |241|106&thinsp;&times;&thinsp;280&thinsp;мм|75186        |225,00|225,00|225,00|
 1|Абразивная сетка P150       HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-015     |225,00|225,00|225,00||sale1 norow|Абразивная сетка| HARDAX|В упаковках по 25 штук.<br><br>Цена за 1 упаковку.||/img/pic/abraz/small/Setka Abrazivnaja.jpg|/img/pic/abraz/big/Setka Abrazivnaja.jpg
#0|Абразивная сетка P&numsp;60 HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-006     |225,00|225,00|225,00|
#0|Абразивная сетка P&numsp;80 HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-008     |225,00|225,00|225,00|
#0|Абразивная сетка P150       HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-015     |225,00|225,00|225,00|
#0|Абразивная сетка P200       HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-020     |225,00|225,00|225,00|
#0|Абразивная сетка P240       HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-024     |225,00|225,00|225,00|
 0|Абразивная сетка P320       HARDAX, уп. 25 шт.     |241|105&thinsp;&times;&thinsp;280&thinsp;мм|31-8-032     |225,00|225,00|225,00|
