1|Горелка ГВК-1|297|RGVK1|425|415|395||Горелка пропановая газовоздушная, рычажная| ГВК-1, 390 х 150 х 45 <span class=art>арт. RGVK1</span>|Горелка пропаново-воздушная ГВК предназначена для кровельно-гидроизоляционных работ. Горелка безопасна в эксплуатации, имеет высокий КПД благодаря полному смешению горючего газа с воздухом. Обеспечивает стабильный тепловой поток и устойчивое горение факела в условиях ветра.<UL><LI>Диаметр присоединяемых рукавов 6/9 мм.<LI>Вес 770 г.<LI>Длина 400 мм.</UL>||/img/pic/eld/small/RGVK1.jpg|/img/pic/eld/big/RGVK1.jpg
1|Горелка ГВ-3 |297|RGV3 |485|460|450||Горелка пропаново-воздушная| ГВ-3, 890 х  55 х 55 <span class=art>арт. RGV3</span>|Горелка пропаново-воздушная ГВ-3 предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайку, оплавления битумных рулонных материалов при кровельных и гидроизоляционных работах, и других видов работ, связанных с применением только пропанового пламени.||/img/pic/eld/small/RGV3.jpg|/img/pic/eld/big/RGV3.jpg
1|Горелка ГВ-3Р|297|RGV3P|485|460|450||Горелка пропаново-воздушная| ГВ-3Р, 910 х 120 х 55 <span class=art>арт. RGV3P</span>|Горелка пропаново-воздушная ГВ-3 предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайку, оплавления битумных рулонных материалов при кровельных и гидроизоляционных работах, и других видов работ, связанных с применением только пропанового пламени.||/img/pic/eld/small/RGV3P.jpg|/img/pic/eld/big/RGV3P.jpg
1|Резак газовый пропановый|297|RS-3P|1390|1330|1290||Резак газовый пропановый| РС-3П <span class=art>арт. RS-3P</span>|Резак газо-кислородный общего назначения РС-3П (пропановый) предназначен для кислородной разделительной резки углеродистых и низколегированных сталей с применением ацетилена и его заменителей (пропана, природного газа). Тип резака - инжекторный.||/img/pic/eld/small/rs3p2.jpg|/img/pic/eld/big/jpg
#1|Горелка ГВК-1-Р|297|GVK|375|365|355||Горелка пропановая газовоздушная, рычажная| ГВК <span class=art>арт. GVK</span>|Горелка пропаново-воздушная ГВК предназначена для кровельно-гидроизоляционных работ. Горелка безопасна в эксплуатации, имеет высокий КПД благодаря полному смешению горючего газа с воздухом. Обеспечивает стабильный тепловой поток и устойчивое горение факела в условиях ветра.<UL><LI>Диаметр присоединяемых рукавов 6/9 мм.<LI>Вес 770 г.<LI>Длина 400 мм.</UL>||/img/pic/eld/small/gvk_1_r.jpg|/img/pic/eld/big/jpg
#UR-6-6.jpg
1|Рукав 6.3 мм, 3 кл. (по 40 м)|297|RU633|38|35|34||Рукав|, 3 кл.|по 40 м||/img/pic/eld/small/RUKAV ART RU633-RU903.jpg|/img/pic/eld/big/RUKAV ART RU633-RU903.jpg
0|Рукав 9.0 мм, 3 кл. (по 40 м)|297|RU903|48|46|44
1|Удлинитель универсальный|297|UU|89|84|81||Удлинитель| универсальный неразъемный <span class=art>арт. UU</span>| ||/img/pic/eld/small/UU.jpg|/img/pic/eld/big/UU.jpg
1|Ниппель|297|NI-616|33|31|29||| д.6 х 16      <span class=art>арт. NI-616</span>|||/img/pic/eld/small/NI-616.jpg|/img/pic/eld/big/NI-616.jpg
1|Ниппель|297|NI-UN |48|45|42||| универсальный <span class=art>арт. NI-UN </span>|||/img/pic/eld/small/NI-UN.jpg|/img/pic/eld/big/NI-UN.jpg
